@relation ClassificationProblem

@attribute leda.features.LabelSimilarity_JaroWinkler numeric
@attribute leda.features.LabelSimilarity_Levenshtein numeric
@attribute leda.features.LabelSimilarity_QGrams numeric
@attribute leda.features.WordNet_Hyponymy numeric
@attribute leda.features.wordnet.WordNet_Similarity_PatwardhanPetersen_1 numeric
@attribute leda.features.wordnet.WordNet_Similarity_JiangConrath numeric
@attribute leda.features.wordnet.WordNet_Similarity_LeacockChodorow numeric
@attribute leda.features.wordnet.WordNet_Similarity_Lesk numeric
@attribute leda.features.wordnet.WordNet_Similarity_Lin numeric
@attribute leda.features.wordnet.WordNet_Similarity_Path numeric
@attribute leda.features.wordnet.WordNet_Similarity_Resnik numeric
@attribute leda.features.wordnet.WordNet_Similarity_WuPalmer numeric
@attribute leda.features.Ontology_Subsumption numeric
@attribute leda.features.Ontology_Similarity numeric
@attribute leda.features.Ontology_ObjectProperties numeric
@attribute leda.features.TaxonomicOverlap_Subclasses numeric
@attribute leda.features.TaxonomicOverlap_Instances numeric
@attribute leda.features.BTaxonomicOverlap_Subclasses numeric
@attribute leda.features.BTaxonomicOverlap_Instances numeric
@attribute leda.features.BOntology_Subsumption numeric
@attribute leda.features.BOntology_Similarity numeric
@attribute leda.features.Document_Similarity numeric
@attribute Name string
@attribute Class {+,-}

@data
0.525714,13,0.076923,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,AcademicJournal__Athlete,+
0.585,19,0.046512,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__AustralianFootballLeague,+
0.53977,24,0.041667,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,AcademicJournal__AustralianRulesFootballPlayer,+
0.64875,14,0.057143,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__AutoRacingLeague,+
0.1,12,0.068966,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Automobile,+
0.585536,14,0.057143,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__AutomobileEngine,+
0.64,12,0.083333,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000225,?,1,?,?,AcademicJournal__Award,+
0.505556,11,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Bacteria,+
0.659259,11,0,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,AcademicJournal__BadmintonPlayer,+
0.544444,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Band,+
0.496825,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__BaseballLeague,+
0.496825,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.025253,0,?,0,?,0,?,?,AcademicJournal__BaseballPlayer,+
0.481944,15,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__BasketballLeague,+
0.481944,15,0,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,AcademicJournal__BasketballPlayer,+
0,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__BasketballTeam,+
0.294444,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Beverage,+
0.411111,15,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__BiologicalDatabase,+
0.438889,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000225,?,1,?,?,AcademicJournal__Bird,+
0.460101,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__BodyOfWater,+
0.438889,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Bone,+
0,14,0,0,?,?,?,?,?,?,?,?,0,?,0.085714,0,?,0,?,0,?,?,AcademicJournal__Book,+
0.422222,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,AcademicJournal__Boxer,+
0,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Brain,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Bridge,+
0.51746,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__BritishRoyalty,+
0.539484,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__BroadcastNetwork,+
0.529293,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Broadcaster,+
0.294444,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Building,+
0.54733,18,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__CanadianFootballLeague,+
0.557936,16,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__CanadianFootballTeam,+
0.422222,11,0.25,0,?,?,?,?,?,?,?,?,0,?,0,0,?,0,?,0,?,?,AcademicJournal__Canal,+
0.525,10,0.222222,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__Cardinal,+
0.544444,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000222,?,1,?,?,AcademicJournal__Cave,+
0.544445,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__Chancellor,+
0.572685,13,0.114286,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__ChemicalCompound,+
0,13,0.111111,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__ChemicalSubstance,+
0.344444,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__ChristianBishop,+
0,14,0,0,?,?,?,?,?,?,?,?,0,?,0.007092,0,?,0.000225,?,1,?,?,AcademicJournal__City,+
0.566667,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__Cleric,+
0.397222,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__ClubMoss,+
0.403175,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__College,+
0.45,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026178,0,?,0,?,0,?,?,AcademicJournal__CollegeCoach,+
0,12,0.08,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Colour,+
0,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0.023697,0,?,0,?,0,?,?,AcademicJournal__Comedian,+
0,14,0.058824,0,?,?,?,?,?,?,?,?,0,0.2,0.025907,0,?,0,?,0,?,?,AcademicJournal__ComicsCharacter,+
0.525519,12,0.0625,0,?,?,?,?,?,?,?,?,0,0.2,0.024155,0,?,0,?,0,?,?,AcademicJournal__ComicsCreator,+
0.306349,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.018519,0,?,0,?,0,?,?,AcademicJournal__Company,+
0.460101,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__Congressman,+
0.306349,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Conifer,+
0,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.007692,0,?,0,?,0,?,?,AcademicJournal__Continent,+
0.555556,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Convention,+
0,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.006329,0,?,0.000225,?,1,?,?,AcademicJournal__Country,+
0.439316,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__CricketLeague,+
0.487037,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,AcademicJournal__Cricketer,+
0.413889,10,0.222222,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__Criminal,+
0.477778,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Crustacean,+
0.461111,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Currency,+
0.6,13,0.083333,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Cycad,+
0.473016,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,AcademicJournal__Cyclist,+
0.461111,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Database,+
0.455556,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Device,+
0.306349,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000225,?,1,?,?,AcademicJournal__Disease,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Drug,+
0.558586,19,0.04878,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__EducationalInstitution,+
0,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Election,+
0.444444,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Embryology,+
0.462626,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__EthnicGroup,+
0.4,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000225,?,1,?,?,AcademicJournal__Eukaryote,+
0.32735,23,0,0,?,?,?,?,?,?,?,?,0,0.2,0.096774,0,?,0,?,0,?,?,AcademicJournal__EurovisionSongContestEntry,+
0.422222,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Event,+
0,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Fern,+
0.551852,16,0.054054,0,?,?,?,?,?,?,?,?,0,0.2,0.025907,0,?,0,?,0,?,?,AcademicJournal__FictionalCharacter,+
0.483287,15,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__FieldHockeyLeague,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,AcademicJournal__FigureSkater,+
0.438889,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.088235,0,?,0.000225,?,1,?,?,AcademicJournal__Film,+
0.516667,12,0.129032,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__FilmFestival,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Fish,+
0.512698,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__FloweringPlant,+
0.438889,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Food,+
0,15,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__FootballMatch,+
0,15,0,0,?,?,?,?,?,?,?,?,0,0.2,0.024876,0,?,0,?,0,?,?,AcademicJournal__FormulaOneRacer,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000225,?,1,?,?,AcademicJournal__Fungus,+
0.501307,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,AcademicJournal__GaelicGamesPlayer,+
0,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000225,?,1,?,?,AcademicJournal__Game,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Ginkgo,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__GivenName,+
0.438384,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Gnetophytes,+
0.388889,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__GolfLeague,+
0.5,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.023148,0,?,0,?,0,?,?,AcademicJournal__GolfPlayer,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__GovernmentAgency,+
0.525,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__Governor,+
0,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__GrandPrix,+
0.511111,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Grape,+
0.451852,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__GreenAlga,+
0.499711,18,0,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,AcademicJournal__GridironFootballPlayer,+
0.553968,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__HandballLeague,+
0.491865,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__HistoricBuilding,+
0.525519,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__HistoricPlace,+
0.472222,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__HockeyTeam,+
0.431746,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Holiday,+
0.294444,12,0.148148,0,?,?,?,?,?,?,?,?,0,?,0,0,?,0,?,0,?,?,AcademicJournal__Hospital,+
0.422222,13,0.083333,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Hotel,+
0.488889,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__IceHockeyLeague,+
0.549206,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.025126,0,?,0,?,0,?,?,AcademicJournal__IceHockeyPlayer,+
0.434127,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Infrastructure,+
0,15,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__InlineHockeyLeague,+
0.322222,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000225,?,1,?,?,AcademicJournal__Insect,+
0.488889,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.006993,0,?,0,?,0,?,?,AcademicJournal__Island,+
0.444444,11,0.344828,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__Journalist,+
0.511111,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__Judge,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__LacrosseLeague,+
0.544444,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Lake,+
0.461111,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Language,+
0,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__LaunchPad,+
0.285185,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__LegalCase,+
0.529293,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Legislature,+
0.403175,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Library,+
0.388889,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Lighthouse,+
0.544445,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Locomotive,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__LunarCrater,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Lymph,+
0.413889,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0.096774,0,?,0,?,0,?,?,AcademicJournal__Magazine,+
0.488889,11,0.16,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Mammal,+
0,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,AcademicJournal__MartialArtist,+
0.422222,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__Mayor,+
0.455556,17,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__MeanOfTransportation,+
0.534259,16,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__MemberOfParliament,+
0.491865,15,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__MilitaryConflict,+
0.498413,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026042,0,?,0,?,0,?,?,AcademicJournal__MilitaryPerson,+
0.45,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__MilitaryUnit,+
0.513095,19,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__MixedMartialArtsEvent,+
0.499711,19,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__MixedMartialArtsLeague,+
0.511111,12,0.083333,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__Model,+
0,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Mollusca,+
0.473016,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026178,0,?,0,?,0,?,?,AcademicJournal__Monarch,+
0.294444,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Monument,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Moss,+
0.521549,18,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__MotorcycleRacingLeague,+
0,13,0,0,?,?,?,?,?,?,?,?,0,?,0,0,?,0,?,0,?,?,AcademicJournal__Mountain,+
0.524786,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__MountainRange,+
0.488889,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000225,?,1,?,?,AcademicJournal__Muscle,+
0.488889,13,0,0,?,?,?,?,?,?,?,?,0,?,0,0,?,0,?,0,?,?,AcademicJournal__Museum,+
0.505983,12,0.125,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__MusicFestival,+
0.477778,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__MusicGenre,+
0.431746,11,0.153846,0,?,?,?,?,?,?,?,?,0,0.2,0.1,0,?,0,?,0,?,?,AcademicJournal__Musical,+
0,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.028571,0,?,0,?,0,?,?,AcademicJournal__MusicalArtist,+
0.529293,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.096774,0,?,0,?,0,?,?,AcademicJournal__MusicalWork,+
0,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000225,?,1,?,?,AcademicJournal__Name,+
0.45,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,AcademicJournal__NascarDriver,+
0,37,0.031746,0,?,?,?,?,?,?,?,?,0,0.2,0.025253,0,?,0,?,0,?,?,AcademicJournal__NationalCollegiateAthleticAssociationAthlete,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__NaturalPlace,+
0.422222,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Nerve,+
0.4,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.085714,0,?,0,?,0,?,?,AcademicJournal__Newspaper,+
0.386869,19,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Non-ProfitOrganisation,+
0.540476,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026178,0,?,0,?,0,?,?,AcademicJournal__OfficeHolder,+
0.509402,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__OlympicResult,+
0.525,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Olympics,+
0.516667,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Organisation,+
0.438889,13,0,0,?,?,?,?,?,?,?,?,0,?,0,0,?,0.000225,?,1,0.133333,?,AcademicJournal__Park,+
0.588889,17,0,0,?,?,?,?,?,?,?,?,1,0.2,0.1,0.25,?,0,?,0,?,?,AcademicJournal__PeriodicalLiterature,-
0.411111,12,0,0,?,?,?,?,?,?,?,?,0,?,0.026316,0,?,0.000225,?,1,?,?,AcademicJournal__Person,+
0.498413,15,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__PersonFunction,+
0.460101,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,?,?,AcademicJournal__Philosopher,+
0.488889,13,0,0,?,?,?,?,?,?,?,?,0,?,0,0,?,0,?,0,?,?,AcademicJournal__Place,+
0.488889,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Planet,+
0.422222,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000225,?,1,?,?,AcademicJournal__Plant,+
