concept1	concept2	correctclass	ledaclass	conf
FilmFestival	Band	+	+	0.649562
Museum	BiologicalDatabase	+	+	0.649562
RailwayTunnel	AdministrativeRegion	+	+	0.649562
Road	AustralianFootballLeague	+	+	0.649562
AnatomicalStructure	Comedian	+	+	0.649562
Cricketer	GivenName	+	+	0.649562
Mayor	SupremeCourtOfTheUnitedStatesCase	+	+	0.649562
Saint	GovernmentAgency	+	+	0.649562
BadmintonPlayer	Game	+	+	0.649562
ClubMoss	WrestlingEvent	+	+	0.649562
ChristianBishop	Name	+	+	0.649562
Village	Device	+	+	0.620871
LaunchPad	GrandPrix	+	+	0.649562
MusicFestival	Plant	+	+	0.649562
PoloLeague	EducationalInstitution	+	+	0.512722
SpeedwayLeague	AutoRacingLeague	+	+	0.649562
RoadTunnel	Band	+	+	0.620871
BroadcastNetwork	SportsLeague	+	+	0.649562
Database	Cricketer	+	+	0.649562
Lake	HandballLeague	+	+	0.649562
AmericanFootballPlayer	Race	+	+	0.649562
University	AmericanFootballPlayer	+	+	0.649562
ChemicalSubstance	Building	+	+	0.720403
Boxer	InlineHockeyLeague	+	+	0.649562
Village	OlympicResult	+	+	0.512722
Work	SoccerLeague	+	+	0.649562
MeanOfTransportation	FloweringPlant	+	+	0.649562
PersonFunction	BasketballLeague	+	+	0.649562
MusicalWork	Planet	+	+	0.649562
MilitaryConflict	Work	+	+	0.649562
Database	Country	+	+	0.649562
YearInSpaceflight	Food	+	+	0.649562
PrimeMinister	SkiArea	+	+	0.649562
Congressman	MilitaryPerson	-	+	0.649562
PlayboyPlaymate	ArchitecturalStructure	+	+	0.649562
Website	Model	+	+	0.649562
Hotel	Airline	+	+	0.649562
Actor	Infrastructure	+	+	0.649562
Project	Cycad	+	+	0.649562
Species	Book	+	+	0.876315
Fungus	Criminal	+	+	0.512722
MilitaryUnit	Musical	+	+	0.649562
WomensTennisAssociationTournament	Holiday	+	+	0.649562
Ambassador	Work	+	+	0.649562
Moss	Island	+	+	0.512722
SportsEvent	TradeUnion	+	+	0.649562
Scientist	Newspaper	+	+	0.620871
SpeedwayLeague	Cycad	+	+	0.649562
SportsEvent	NascarDriver	+	+	0.649562
SportsTeam	Activity	+	+	0.649562
Brain	Senator	+	+	0.649562
WrittenWork	MartialArtist	+	+	0.649562
Athlete	Software	+	+	0.649562
Bone	BaseballPlayer	+	+	0.649562
Amphibian	SpaceMission	+	+	0.649562
Airline	ArchitecturalStructure	+	+	0.649562
GivenName	MountainRange	+	+	0.649562
MartialArtist	Automobile	+	+	0.649562
Saint	Criminal	-	+	0.649562
HandballLeague	Airline	+	+	0.649562
LunarCrater	Athlete	+	+	0.649562
Bridge	Moss	+	+	0.649562
Newspaper	LacrosseLeague	+	+	0.649562
MountainRange	FilmFestival	+	+	0.649562
Museum	Company	+	+	0.649562
Book	Island	+	+	0.649562
Museum	Project	+	+	0.649562
ChemicalCompound	Activity	+	+	0.649562
FormulaOneRacer	PersonFunction	+	+	0.649562
Athlete	BasketballPlayer	-	+	0.649562
Settlement	EducationalInstitution	+	+	0.512722
Eukaryote	Name	+	+	0.649562
BaseballLeague	HistoricBuilding	+	+	0.512722
WrittenWork	WineRegion	+	+	0.649562
Artery	ResearchProject	+	+	0.649562
Country	GivenName	+	+	0.649562
TennisLeague	IceHockeyPlayer	+	+	0.649562
Album	Person	+	+	0.788647
Island	Bone	+	+	0.649562
Continent	AustralianFootballLeague	+	+	0.649562
AnatomicalStructure	Grape	+	+	0.512722
Mammal	IceHockeyPlayer	+	+	0.649562
Senator	Island	+	+	0.720403
SnookerChamp	LaunchPad	+	+	0.649562
Event	GreenAlga	+	+	0.649562
Journalist	Organisation	+	+	0.649562
Vein	AustralianRulesFootballPlayer	+	+	0.649562
NaturalPlace	Cleric	+	+	0.649562
BaseballLeague	BroadcastNetwork	+	+	0.649562
Scientist	InlineHockeyLeague	+	+	0.649562
Disease	WomensTennisAssociationTournament	+	+	0.649562
Fish	Lighthouse	+	+	0.649562
PoloLeague	MilitaryUnit	+	+	0.649562
Philosopher	LacrosseLeague	+	+	0.649562
Actor	Currency	+	+	0.649562
Philosopher	NationalCollegiateAthleticAssociationAthlete	-	+	0.649562
GrandPrix	WineRegion	+	+	0.649562
BodyOfWater	Amphibian	+	+	0.649562
MartialArtist	Person	-	+	0.575317
GaelicGamesPlayer	Town	+	+	0.512722
Saint	Fungus	+	+	0.512722
Station	Fern	+	+	0.649562
Stream	PublicTransitSystem	+	+	0.512722
Writer	Astronaut	-	+	0.649562
Language	Organisation	+	+	0.620871
Magazine	Amphibian	+	+	0.649562
ChemicalCompound	MusicalArtist	+	+	0.649562
MartialArtist	ArchitecturalStructure	+	+	0.649562
SoccerManager	Cleric	-	+	0.649562
SpaceMission	WorldHeritageSite	+	+	0.649562
Country	BroadcastNetwork	+	+	0.649562
Song	SpaceStation	+	+	0.649562
ProgrammingLanguage	Lighthouse	+	+	0.720403
Website	IceHockeyPlayer	+	+	0.649562
GolfPlayer	Insect	+	+	0.649562
Project	Congressman	+	+	0.649562
SpaceMission	Planet	+	+	0.649562
Race	Restaurant	+	+	0.649562
Station	Eukaryote	+	+	0.649562
Website	Project	+	+	0.620871
BiologicalDatabase	WaterwayTunnel	+	+	0.649562
SpeedwayLeague	Book	+	+	0.649562
Song	Project	+	+	0.649562
Food	Holiday	+	+	0.649562
PoloLeague	Database	+	+	0.649562
SoftballLeague	Rocket	+	+	0.649562
Bird	ChemicalSubstance	+	+	0.720403
MusicFestival	FloweringPlant	+	+	0.649562
GrandPrix	Election	+	+	0.649562
Planet	Activity	+	+	0.649562
SoccerManager	Grape	+	+	0.649562
RugbyLeague	SpaceShuttle	+	+	0.649562
PersonFunction	GridironFootballPlayer	+	+	0.649562
WaterwayTunnel	Organisation	+	+	0.649562
Non-ProfitOrganisation	Athlete	+	+	0.649562
SportsEvent	Mollusca	+	+	0.649562
GreenAlga	NaturalPlace	+	+	0.649562
SoccerManager	CanadianFootballLeague	+	+	0.649562
Athlete	OfficeHolder	-	+	0.649562
FilmFestival	SnookerPlayer	+	+	0.649562
Senator	BasketballPlayer	-	+	0.649562
GivenName	Airline	+	+	0.720403
SpeedwayTeam	Lake	+	+	0.649562
Town	MixedMartialArtsLeague	+	+	0.512722
Scientist	Lake	+	+	0.649562
BasketballTeam	Airline	+	+	0.512722
Magazine	Cardinal	+	+	0.649562
Judge	Lighthouse	+	+	0.512722
Village	AutoRacingLeague	+	+	0.720403
SoccerPlayer	ComicsCharacter	-	+	0.649562
Gnetophytes	AutomobileEngine	+	+	0.649562
Village	Game	+	+	0.649562
Bridge	Continent	+	+	0.649562
CanadianFootballLeague	Person	+	-	0.410777
TelevisionEpisode	PoloLeague	+	+	0.649562
Restaurant	Wrestler	+	+	0.649562
MotorcycleRacingLeague	Race	+	+	0.649562
Film	WorldHeritageSite	+	+	0.649562
Film	Food	+	+	0.620871
Building	BiologicalDatabase	+	+	0.649562
PersonFunction	OfficeHolder	+	+	0.649562
VolleyballLeague	GolfLeague	+	+	0.649562
TelevisionEpisode	Activity	+	+	0.649562
Artery	Boxer	+	+	0.649562
Disease	Election	+	+	0.649562
Monarch	Album	+	+	0.649562
VideogamesLeague	BroadcastNetwork	+	+	0.649562
Vein	AustralianFootballLeague	+	+	0.649562
Lake	GolfPlayer	+	+	0.649562
RailwayLine	LegalCase	+	+	0.649562
TennisLeague	Governor	+	+	0.649562
AdministrativeRegion	Saint	+	+	0.649562
PoloLeague	OlympicResult	+	+	0.720403
Town	LacrosseLeague	+	+	0.649562
ComicsCreator	HandballLeague	+	+	0.649562
MemberOfParliament	Election	+	+	0.649562
MixedMartialArtsEvent	Cycad	+	+	0.649562
Game	RugbyLeague	+	+	0.649562
Hotel	AmericanFootballPlayer	+	+	0.649562
Book	President	+	+	0.649562
PlayboyPlaymate	Project	+	+	0.649562
Legislature	Cleric	+	+	0.649562
Convention	MilitaryPerson	+	+	0.649562
Grape	InlineHockeyLeague	+	+	0.649562
PopulatedPlace	RecordLabel	+	+	0.649562
YearInSpaceflight	AdministrativeRegion	+	+	0.649562
MusicGenre	BroadcastNetwork	+	+	0.649562
SoftballLeague	LaunchPad	+	+	0.720403
Automobile	Writer	+	+	0.649562
MilitaryPerson	Gnetophytes	+	+	0.649562
PoliticalParty	Archaea	+	+	0.512722
MilitaryConflict	LaunchPad	+	+	0.649562
WrittenWork	FieldHockeyLeague	+	+	0.649562
Archaea	SpaceStation	+	+	0.649562
Architect	Aircraft	+	+	0.620871
Criminal	TennisLeague	+	+	0.649562
Judge	BasketballLeague	+	+	0.649562
Scientist	ClubMoss	+	+	0.649562
FilmFestival	MixedMartialArtsEvent	+	+	0.649562
NascarDriver	RailwayTunnel	+	+	0.649562
MixedMartialArtsLeague	CanadianFootballTeam	+	+	0.649562
ShoppingMall	Monarch	+	+	0.720403
LacrosseLeague	Vein	+	+	0.649562
Airline	School	+	+	0.671556
Game	CanadianFootballLeague	+	+	0.649562
Airline	EducationalInstitution	+	+	0.512722
YearInSpaceflight	AustralianRulesFootballPlayer	+	+	0.649562
Film	Race	+	+	0.649562
PlayboyPlaymate	ProtectedArea	+	+	0.649562
Non-ProfitOrganisation	Judge	+	+	0.649562
Conifer	AutomobileEngine	+	+	0.649562
Mammal	ChemicalSubstance	+	+	0.720403
Infrastructure	Criminal	+	+	0.649562
GivenName	OfficeHolder	+	+	0.649562
PopulatedPlace	SportsEvent	+	+	0.649562
FilmFestival	Event	-	+	0.649562
PeriodicalLiterature	Wrestler	+	+	0.649562
Ship	AmericanFootballPlayer	+	+	0.649562
Cardinal	PoliticalParty	+	+	0.649562
SnookerWorldRanking	Musical	+	+	0.649562
SkiArea	Judge	+	+	0.649562
Cave	Crustacean	+	+	0.649562
Holiday	FieldHockeyLeague	+	+	0.649562
ChristianBishop	Work	+	+	0.649562
GovernmentAgency	Colour	+	+	0.649562
TelevisionShow	ResearchProject	+	+	0.649562
Hospital	Weapon	+	+	0.649562
River	RadioStation	+	+	0.649562
PrimeMinister	TradeUnion	+	+	0.649562
Continent	SoccerLeague	+	+	0.649562
Stadium	Activity	+	+	0.649562
LacrosseLeague	Film	+	+	0.649562
SportsTeam	ResearchProject	+	+	0.649562
PoloLeague	Criminal	+	+	0.649562
Insect	Town	+	+	0.597257
SpaceShuttle	ChemicalSubstance	+	+	0.649562
Election	Journalist	+	+	0.649562
SpeedwayTeam	Lighthouse	+	+	0.649562
BodyOfWater	Wrestler	+	+	0.649562
Athlete	Person	-	+	0.649562
Song	GreenAlga	+	+	0.649562
Device	Cyclist	+	+	0.649562
Rocket	Bacteria	+	+	0.649562
GivenName	Eukaryote	+	+	0.649562
Astronaut	Chancellor	-	+	0.649562
PrimeMinister	Website	+	+	0.649562
NationalCollegiateAthleticAssociationAthlete	FormulaOneRacer	-	+	0.649562
GrandPrix	Lighthouse	+	+	0.649562
RoadTunnel	Valley	+	+	0.649562
Saint	Station	+	+	0.649562
BaseballPlayer	Cardinal	-	+	0.649562
SoccerLeague	Person	+	+	0.649562
Amphibian	FigureSkater	+	+	0.620871
LacrosseLeague	Beverage	+	+	0.649562
Currency	Cycad	+	+	0.512722
Colour	Monarch	+	+	0.649562
Song	Mollusca	+	+	0.649562
Stadium	Mammal	+	+	0.512722
Band	Mammal	+	+	0.620871
ChristianBishop	Ambassador	-	+	0.649562
MemberOfParliament	AmericanFootballTeam	+	+	0.649562
WorldHeritageSite	Person	+	-	0.410777
TennisLeague	RugbyPlayer	+	+	0.649562
Ginkgo	OfficeHolder	+	+	0.649562
CricketLeague	ProtectedArea	+	+	0.649562
Infrastructure	Database	+	+	0.649562
SupremeCourtOfTheUnitedStatesCase	Hospital	+	+	0.649562
AustralianRulesFootballPlayer	School	+	+	0.649562
Convention	AutoRacingLeague	+	+	0.649562
FigureSkater	President	-	+	0.649562
PlayboyPlaymate	Restaurant	+	+	0.649562
Conifer	Drug	+	+	0.649562
Settlement	Writer	+	+	0.671556
BasketballPlayer	BaseballPlayer	-	+	0.649562
LacrosseLeague	FictionalCharacter	+	+	0.649562
BodyOfWater	Archaea	+	+	0.649562
GolfLeague	Event	+	+	0.649562
Organisation	Ship	+	+	0.649562
Software	CricketLeague	+	+	0.649562
VideoGame	Activity	+	+	0.620871
SoccerClub	NationalCollegiateAthleticAssociationAthlete	+	+	0.649562
MixedMartialArtsLeague	Musical	+	+	0.649562
Embryology	NaturalPlace	+	+	0.649562
RailwayLine	Drug	+	+	0.649562
Boxer	TennisLeague	+	+	0.649562
ComicsCreator	TradeUnion	+	+	0.649562
Boxer	MartialArtist	-	+	0.649562
Island	SnookerWorldRanking	+	+	0.649562
SnookerChamp	Fern	+	+	0.649562
WrestlingEvent	Rocket	+	+	0.649562
Book	BritishRoyalty	+	+	0.649562
TelevisionStation	RugbyLeague	+	+	0.649562
River	Weapon	+	+	0.649562
Monument	Work	+	+	0.649562
School	Plant	+	+	0.671556
VideogamesLeague	AustralianFootballLeague	+	+	0.649562
Arachnid	Website	+	+	0.649562
Museum	TelevisionStation	+	+	0.649562
Crustacean	Theatre	+	+	0.649562
SportsLeague	Village	+	+	0.512722
SpaceShuttle	Person	+	+	0.649562
Sport	Architect	+	+	0.620871
Beverage	Disease	+	+	0.649562
Infrastructure	WrestlingEvent	+	+	0.620871
InlineHockeyLeague	Software	+	+	0.649562
SoccerManager	Eukaryote	+	+	0.649562
Bridge	BaseballLeague	+	+	0.649562
HockeyTeam	HistoricPlace	+	+	0.649562
Language	Single	+	+	0.649562
Band	RoadJunction	+	+	0.649562
Road	SupremeCourtOfTheUnitedStatesCase	+	+	0.649562
Senator	Park	+	+	0.649562
Bacteria	RadioStation	+	+	0.649562
TennisLeague	PowerStation	+	+	0.649562
AutomobileEngine	Colour	+	+	0.649562
Criminal	Airline	+	+	0.720403
SportsLeague	SoccerClub	+	+	0.649562
Language	SupremeCourtOfTheUnitedStatesCase	+	+	0.649562
Hotel	Arachnid	+	+	0.649562
AcademicJournal	Chancellor	+	+	0.649562
Stadium	Muscle	+	+	0.512722
Senator	PublicTransitSystem	+	+	0.720403
TennisLeague	President	+	+	0.649562
Valley	TelevisionShow	+	+	0.649562
Politician	NaturalPlace	+	+	0.649562
RadioStation	ProgrammingLanguage	+	+	0.649562
RailwayLine	OlympicResult	+	+	0.649562
HistoricPlace	Fern	+	+	0.620871
TelevisionEpisode	NascarDriver	+	+	0.649562
Judge	Rocket	+	+	0.649562
Canal	RoadJunction	+	+	0.649562
Plant	EurovisionSongContestEntry	+	+	0.649562
WineRegion	ClubMoss	+	+	0.649562
Canal	SupremeCourtOfTheUnitedStatesCase	+	+	0.649562
GrandPrix	ClubMoss	+	+	0.649562
Grape	Airport	+	+	0.512722
Boxer	RailwayTunnel	+	+	0.649562
PlayboyPlaymate	Embryology	+	+	0.649562
Mayor	SpeedwayTeam	+	+	0.649562
Bridge	ComicsCharacter	+	+	0.649562
Philosopher	Tunnel	+	+	0.649562
ClubMoss	Senator	+	+	0.649562
MixedMartialArtsEvent	AutomobileEngine	+	+	0.649562
VideogamesLeague	SportsTeam	+	+	0.649562
GivenName	PoloLeague	+	+	0.649562
Artery	Scientist	+	+	0.649562
MilitaryUnit	Company	+	+	0.620871
Philosopher	Book	+	+	0.620871
Cricketer	Theatre	+	+	0.649562
SpeedwayLeague	TennisPlayer	+	+	0.649562
President	Reptile	+	+	0.649562
Colour	LacrosseLeague	+	+	0.649562
Fungus	LacrosseLeague	+	+	0.649562
Currency	Bone	+	+	0.649562
SpeedwayTeam	RailwayLine	+	+	0.649562
InlineHockeyLeague	AcademicJournal	+	+	0.649562
SoccerClub	Island	+	+	0.649562
Automobile	SoccerLeague	+	+	0.649562
Work	Actor	+	+	0.649562
Beverage	MartialArtist	+	+	0.649562
LunarCrater	Cleric	+	+	0.649562
ChristianBishop	Bone	+	+	0.649562
OlympicResult	School	+	+	0.512722
Species	InlineHockeyLeague	+	+	0.649562
MemberOfParliament	FilmFestival	+	+	0.649562
Beverage	Senator	+	+	0.649562
RoadJunction	Sport	+	+	0.649562
Ginkgo	Gnetophytes	+	+	0.649562
Brain	Model	+	+	0.649562
OfficeHolder	SoccerLeague	+	+	0.649562
MilitaryConflict	BasketballPlayer	+	+	0.649562
Olympics	Fish	+	+	0.649562
Amphibian	RailwayTunnel	+	+	0.649562
Nerve	Lighthouse	+	+	0.649562
BasketballLeague	Plant	+	+	0.649562
BaseballLeague	Settlement	+	+	0.512722
AmericanFootballPlayer	Protein	+	+	0.649562
BiologicalDatabase	School	+	+	0.649562
IceHockeyPlayer	ChemicalSubstance	+	+	0.649562
AmericanFootballLeague	Airline	+	+	0.649562
AnatomicalStructure	NationalCollegiateAthleticAssociationAthlete	+	+	0.649562
Airline	AmericanFootballPlayer	+	+	0.649562
Beverage	RouteOfTransportation	+	+	0.649562
MilitaryPerson	Governor	-	+	0.649562
Journalist	SpaceShuttle	+	+	0.649562
FigureSkater	YearInSpaceflight	+	+	0.649562
Language	Senator	+	+	0.720403
PlayboyPlaymate	WrestlingEvent	+	+	0.649562
MilitaryConflict	Politician	+	+	0.649562
PoloLeague	Fish	+	+	0.649562
RoadJunction	Website	+	+	0.649562
Continent	TradeUnion	+	+	0.649562
Moss	PoliticalParty	+	+	0.720403
RadioStation	AustralianRulesFootballPlayer	+	+	0.649562
City	VideoGame	+	+	0.671556
MountainRange	University	+	+	0.649562
SnookerWorldRanking	BaseballLeague	+	+	0.649562
EthnicGroup	ResearchProject	+	+	0.649562
FigureSkater	Gnetophytes	+	+	0.649562
Software	AdministrativeRegion	+	+	0.649562
Country	PopulatedPlace	-	+	0.649562
Crustacean	RailwayLine	+	+	0.649562
Band	Building	+	+	0.620871
Chancellor	Database	+	+	0.649562
Cave	Drug	+	+	0.649562
MusicalArtist	Locomotive	+	+	0.649562
Species	HockeyTeam	+	+	0.649562
FieldHockeyLeague	Stream	+	+	0.649562
MilitaryConflict	ProgrammingLanguage	+	+	0.649562
MusicalArtist	Conifer	+	+	0.649562
Plant	BodyOfWater	+	+	0.649562
NaturalPlace	Monarch	+	+	0.649562
SoccerLeague	AmericanFootballTeam	+	+	0.649562
SpeedwayLeague	EurovisionSongContestEntry	+	+	0.649562
OfficeHolder	Island	+	+	0.649562
FilmFestival	PlayboyPlaymate	+	+	0.649562
AdministrativeRegion	Reptile	+	+	0.649562
SoccerClub	RailwayLine	+	+	0.649562
Bridge	Convention	+	+	0.649562
MusicalWork	Sport	+	+	0.649562
Database	Album	+	+	0.649562
Settlement	SupremeCourtOfTheUnitedStatesCase	+	+	0.649562
Hospital	Song	+	+	0.649562
RailwayLine	IceHockeyLeague	+	+	0.649562
RoadTunnel	FormulaOneRacer	+	+	0.649562
Nerve	Muscle	+	+	0.649562
Arachnid	LegalCase	+	+	0.649562
MusicalWork	CanadianFootballLeague	+	+	0.649562
GolfLeague	Automobile	+	+	0.649562
Insect	Lymph	+	+	0.649562
Senator	Cyclist	-	+	0.649562
WrittenWork	Work	-	+	0.649562
Plant	RoadTunnel	+	+	0.620871
Airline	Place	+	+	0.620871
Locomotive	LaunchPad	+	+	0.649562
GridironFootballPlayer	PopulatedPlace	+	+	0.649562
Musical	Station	+	+	0.649562
BaseballLeague	SportsTeam	+	+	0.649562
Magazine	Beverage	+	+	0.649562
Insect	Boxer	+	+	0.649562
SportsEvent	IceHockeyLeague	+	+	0.649562
FloweringPlant	BasketballLeague	+	+	0.649562
BasketballTeam	BiologicalDatabase	+	+	0.649562
Bird	PoliticalParty	+	+	0.512722
BroadcastNetwork	Musical	+	+	0.649562
GovernmentAgency	EurovisionSongContestEntry	+	+	0.649562
Song	BasketballPlayer	+	+	0.649562
Locomotive	Cycad	+	+	0.649562
VideogamesLeague	AmericanFootballTeam	+	+	0.649562
Website	NaturalPlace	+	+	0.649562
SkiArea	Architect	+	+	0.649562
SupremeCourtOfTheUnitedStatesCase	Play	+	+	0.649562
VolleyballLeague	HistoricBuilding	+	+	0.649562
Judge	Single	+	+	0.649562
BritishRoyalty	Tunnel	+	+	0.649562
AustralianRulesFootballPlayer	Holiday	+	+	0.649562
Arachnid	Country	+	+	0.649562
ComicsCharacter	AutoRacingLeague	+	+	0.649562
Game	Astronaut	+	+	0.649562
Lighthouse	Ship	+	+	0.512722
Lighthouse	Company	+	+	0.671556
GaelicGamesPlayer	Website	+	+	0.649562
MilitaryConflict	Non-ProfitOrganisation	+	+	0.649562
Astronaut	PoliticalParty	+	+	0.649562
City	Cyclist	+	+	0.649562
Bacteria	MeanOfTransportation	+	+	0.649562
SoccerManager	Hospital	+	+	0.649562
Astronaut	CanadianFootballTeam	+	+	0.649562
PeriodicalLiterature	Colour	+	+	0.649562
ResearchProject	IceHockeyLeague	+	+	0.649562
GovernmentAgency	Mayor	+	+	0.649562
AmericanFootballLeague	RoadJunction	+	+	0.649562
Artery	AmericanFootballPlayer	+	+	0.649562
Eukaryote	AmericanFootballTeam	+	+	0.649562
Company	SportsLeague	+	+	0.512722
SpaceMission	HistoricBuilding	+	+	0.649562
Fungus	SoccerPlayer	+	+	0.649562
ChemicalSubstance	RailwayLine	+	+	0.649562
Album	Village	+	-	0.239599
Non-ProfitOrganisation	LegalCase	+	+	0.649562
PoloLeague	RouteOfTransportation	+	+	0.649562
Cleric	MountainRange	+	+	0.649562
VideogamesLeague	WaterwayTunnel	+	+	0.649562
Play	Lymph	+	+	0.649562
TradeUnion	Grape	+	+	0.512722
Politician	PeriodicalLiterature	+	+	0.649562
Vein	Airport	+	+	0.649562
RailwayTunnel	SoccerClub	+	+	0.649562
Library	SportsTeam	+	+	0.649562
Cyclist	FilmFestival	+	+	0.649562
TelevisionStation	Muscle	+	+	0.649562
Species	RoadJunction	+	+	0.649562
MartialArtist	Cyclist	-	+	0.649562
University	Arachnid	+	+	0.649562
Fern	MotorcycleRacingLeague	+	+	0.649562
MotorcycleRacingLeague	Award	+	+	0.649562
Journalist	Crustacean	+	+	0.649562
Eukaryote	GridironFootballPlayer	+	+	0.649562
Convention	Writer	+	+	0.649562
Embryology	Judge	+	+	0.649562
ChemicalSubstance	Arachnid	+	+	0.649562
Legislature	FictionalCharacter	+	+	0.649562
GolfPlayer	Disease	+	+	0.649562
Saint	SnookerPlayer	-	+	0.649562
Stream	SoccerLeague	+	+	0.649562
Athlete	ChristianBishop	-	+	0.649562
Lighthouse	AmericanFootballPlayer	+	+	0.649562
HockeyTeam	Device	+	+	0.649562
Judge	AnatomicalStructure	+	+	0.512722
RailwayTunnel	GolfLeague	+	+	0.649562
LaunchPad	MixedMartialArtsLeague	+	+	0.649562
Philosopher	CanadianFootballTeam	+	+	0.649562
BroadcastNetwork	Artery	+	+	0.649562
Automobile	AustralianFootballLeague	+	+	0.649562
