concept1	concept2	correctclass	ledaclass	conf
Eukaryote	Continent	+	+	0.909096
Mayor	Bone	+	+	0.933918
BasketballTeam	MusicFestival	+	+	0.666200
Band	AcademicJournal	+	+	0.666200
LaunchPad	Vein	+	+	0.576393
AcademicJournal	Disease	+	+	0.666200
Work	Archaea	+	+	0.666200
Nerve	ProgrammingLanguage	+	+	0.666200
Artery	MixedMartialArtsEvent	+	+	0.666200
Artery	GrandPrix	+	+	0.666200
IceHockeyLeague	SportsTeam	+	+	0.666200
GrandPrix	Ship	+	+	0.666200
SoccerLeague	BadmintonPlayer	+	+	0.666200
Website	Place	+	+	0.783079
MilitaryUnit	PrimeMinister	+	+	0.666200
Hotel	WineRegion	+	+	0.666200
SnookerWorldRanking	Boxer	+	+	0.666200
Spacecraft	Bacteria	+	+	0.576393
Species	Monument	+	+	0.978717
Muscle	SkiArea	+	+	0.666200
Fungus	MartialArtist	+	+	0.666200
ChemicalSubstance	AmericanFootballTeam	+	+	0.666200
Broadcaster	ClubMoss	+	+	0.666200
RadioStation	BroadcastNetwork	+	+	0.666200
Broadcaster	SkiArea	+	+	0.666200
Bird	MixedMartialArtsEvent	+	+	0.666200
VideogamesLeague	IceHockeyPlayer	+	+	0.666200
Lake	WrittenWork	+	+	0.666200
MusicFestival	BaseballPlayer	+	+	0.666200
Restaurant	Play	+	+	0.978717
MusicFestival	ArchitecturalStructure	+	+	0.666200
Artist	AustralianRulesFootballPlayer	-	+	0.666200
RecordLabel	Fungus	+	+	0.666200
ChemicalCompound	SkiArea	+	+	0.666200
RouteOfTransportation	Weapon	+	+	0.666200
ProgrammingLanguage	AustralianFootballLeague	+	+	0.666200
Cardinal	Embryology	+	+	0.964325
Mollusca	Cleric	+	+	0.964325
FootballMatch	Mayor	+	+	0.666200
FilmFestival	Band	+	+	0.666200
Museum	BiologicalDatabase	+	+	0.666200
RailwayTunnel	AdministrativeRegion	+	+	0.666200
Road	AustralianFootballLeague	+	+	0.666200
AnatomicalStructure	Comedian	+	+	0.666200
Cricketer	GivenName	+	+	0.666200
Mayor	SupremeCourtOfTheUnitedStatesCase	+	+	0.666200
Saint	GovernmentAgency	+	+	0.666200
BadmintonPlayer	Game	+	+	0.666200
ClubMoss	WrestlingEvent	+	+	0.666200
ChristianBishop	Name	+	+	0.666200
Village	Device	+	+	0.933918
LaunchPad	GrandPrix	+	+	0.666200
MusicFestival	Plant	+	+	0.666200
PoloLeague	EducationalInstitution	+	+	0.666200
SpeedwayLeague	AutoRacingLeague	+	+	0.507089
RoadTunnel	Band	+	+	0.666200
BroadcastNetwork	SportsLeague	+	+	0.666200
Database	Cricketer	+	+	0.964325
Lake	HandballLeague	+	+	0.666200
AmericanFootballPlayer	Race	+	+	0.666200
University	AmericanFootballPlayer	+	+	0.666200
ChemicalSubstance	Building	+	+	0.666200
Boxer	InlineHockeyLeague	+	+	0.666200
Village	OlympicResult	+	+	0.666200
Work	SoccerLeague	+	+	0.666200
MeanOfTransportation	FloweringPlant	+	+	0.666200
PersonFunction	BasketballLeague	+	+	0.666200
MusicalWork	Planet	+	+	0.666200
MilitaryConflict	Work	+	+	0.666200
Database	Country	+	+	0.933918
YearInSpaceflight	Food	+	+	0.666200
PrimeMinister	SkiArea	+	+	0.666200
Congressman	MilitaryPerson	-	+	0.666200
PlayboyPlaymate	ArchitecturalStructure	+	+	0.666200
Website	Model	+	+	0.576393
Hotel	Airline	+	+	0.909096
Actor	Infrastructure	+	+	0.886392
Project	Cycad	+	+	0.964325
Species	Book	+	+	0.975094
Fungus	Criminal	+	+	0.841947
MilitaryUnit	Musical	+	+	0.666200
WomensTennisAssociationTournament	Holiday	+	+	0.666200
Ambassador	Work	+	+	0.975094
Moss	Island	+	+	0.841947
SportsEvent	TradeUnion	+	+	0.666200
Scientist	Newspaper	+	+	0.841947
SpeedwayLeague	Cycad	+	+	0.666200
SportsEvent	NascarDriver	+	+	0.666200
SportsTeam	Activity	+	+	0.666200
Brain	Senator	+	+	0.841947
WrittenWork	MartialArtist	+	+	0.666200
Athlete	Software	+	+	0.978717
Bone	BaseballPlayer	+	+	0.666200
Amphibian	SpaceMission	+	+	0.666200
Airline	ArchitecturalStructure	+	+	0.666200
GivenName	MountainRange	+	+	0.666200
MartialArtist	Automobile	+	+	0.666200
Saint	Criminal	-	-	0.400536
HandballLeague	Airline	+	+	0.666200
LunarCrater	Athlete	+	+	0.666200
Bridge	Moss	+	+	0.975094
Newspaper	LacrosseLeague	+	+	0.666200
MountainRange	FilmFestival	+	+	0.666200
Museum	Company	+	-	0.400536
Book	Island	+	+	0.830817
Museum	Project	+	+	0.978717
ChemicalCompound	Activity	+	+	0.666200
FormulaOneRacer	PersonFunction	+	+	0.666200
Athlete	BasketballPlayer	-	+	0.666200
Settlement	EducationalInstitution	+	+	0.666200
Eukaryote	Name	+	+	0.576393
BaseballLeague	HistoricBuilding	+	+	0.666200
WrittenWork	WineRegion	+	+	0.666200
Artery	ResearchProject	+	+	0.666200
Country	GivenName	+	+	0.666200
TennisLeague	IceHockeyPlayer	+	+	0.666200
Album	Person	+	+	0.860525
Island	Bone	+	+	0.889321
Continent	AustralianFootballLeague	+	+	0.666200
AnatomicalStructure	Grape	+	+	0.666200
Mammal	IceHockeyPlayer	+	+	0.666200
Senator	Island	+	+	0.933918
SnookerChamp	LaunchPad	+	+	0.666200
Event	GreenAlga	+	+	0.666200
Journalist	Organisation	+	+	0.929940
Vein	AustralianRulesFootballPlayer	+	+	0.666200
NaturalPlace	Cleric	+	+	0.666200
BaseballLeague	BroadcastNetwork	+	+	0.666200
Scientist	InlineHockeyLeague	+	+	0.666200
Disease	WomensTennisAssociationTournament	+	+	0.666200
Fish	Lighthouse	+	+	0.841947
PoloLeague	MilitaryUnit	+	+	0.666200
Philosopher	LacrosseLeague	+	+	0.666200
Actor	Currency	+	+	0.978717
Philosopher	NationalCollegiateAthleticAssociationAthlete	-	+	0.666200
GrandPrix	WineRegion	+	+	0.666200
BodyOfWater	Amphibian	+	+	0.666200
MartialArtist	Person	-	+	0.666200
GaelicGamesPlayer	Town	+	+	0.666200
Saint	Fungus	+	+	0.841947
Station	Fern	+	+	0.909096
Stream	PublicTransitSystem	+	+	0.666200
Writer	Astronaut	-	+	0.576393
Language	Organisation	+	-	0.211909
Magazine	Amphibian	+	+	0.841947
ChemicalCompound	MusicalArtist	+	+	0.666200
MartialArtist	ArchitecturalStructure	+	+	0.666200
SoccerManager	Cleric	-	+	0.666200
SpaceMission	WorldHeritageSite	+	+	0.666200
Country	BroadcastNetwork	+	+	0.666200
Song	SpaceStation	+	+	0.666200
ProgrammingLanguage	Lighthouse	+	+	0.666200
Website	IceHockeyPlayer	+	+	0.666200
GolfPlayer	Insect	+	+	0.666200
Project	Congressman	+	+	0.978717
SpaceMission	Planet	+	+	0.666200
Race	Restaurant	+	+	0.698328
Station	Eukaryote	+	+	0.909096
Website	Project	+	+	0.964325
BiologicalDatabase	WaterwayTunnel	+	+	0.666200
SpeedwayLeague	Book	+	+	0.666200
Song	Project	+	-	0.456360
Food	Holiday	+	+	0.933918
PoloLeague	Database	+	+	0.666200
SoftballLeague	Rocket	+	+	0.666200
Bird	ChemicalSubstance	+	+	0.666200
MusicFestival	FloweringPlant	+	+	0.666200
GrandPrix	Election	+	+	0.666200
Planet	Activity	+	-	0.211909
SoccerManager	Grape	+	+	0.666200
RugbyLeague	SpaceShuttle	+	+	0.666200
PersonFunction	GridironFootballPlayer	+	+	0.666200
WaterwayTunnel	Organisation	+	+	0.666200
Non-ProfitOrganisation	Athlete	+	+	0.666200
SportsEvent	Mollusca	+	+	0.666200
GreenAlga	NaturalPlace	+	+	0.666200
SoccerManager	CanadianFootballLeague	+	+	0.666200
Athlete	OfficeHolder	-	+	0.938767
FilmFestival	SnookerPlayer	+	+	0.666200
Senator	BasketballPlayer	-	+	0.666200
GivenName	Airline	+	+	0.666200
SpeedwayTeam	Lake	+	+	0.666200
Town	MixedMartialArtsLeague	+	+	0.666200
Scientist	Lake	+	+	0.841947
BasketballTeam	Airline	+	+	0.666200
Magazine	Cardinal	+	+	0.933918
Judge	Lighthouse	+	+	0.841947
Village	AutoRacingLeague	+	+	0.666200
SoccerPlayer	ComicsCharacter	-	+	0.666200
Gnetophytes	AutomobileEngine	+	+	0.666200
Village	Game	+	+	0.933918
Bridge	Continent	+	+	0.841947
CanadianFootballLeague	Person	+	+	0.666200
TelevisionEpisode	PoloLeague	+	+	0.666200
Restaurant	Wrestler	+	+	0.841947
MotorcycleRacingLeague	Race	+	+	0.666200
Film	WorldHeritageSite	+	+	0.666200
Film	Food	+	+	0.841947
Building	BiologicalDatabase	+	+	0.666200
PersonFunction	OfficeHolder	+	+	0.666200
VolleyballLeague	GolfLeague	+	-	0.145250
TelevisionEpisode	Activity	+	+	0.666200
Artery	Boxer	+	+	0.841947
Disease	Election	+	+	0.975094
Monarch	Album	+	+	0.975094
VideogamesLeague	BroadcastNetwork	+	+	0.666200
Vein	AustralianFootballLeague	+	+	0.666200
Lake	GolfPlayer	+	+	0.666200
RailwayLine	LegalCase	+	+	0.666200
TennisLeague	Governor	+	+	0.666200
AdministrativeRegion	Saint	+	+	0.666200
PoloLeague	OlympicResult	+	+	0.666200
Town	LacrosseLeague	+	+	0.666200
ComicsCreator	HandballLeague	+	+	0.666200
MemberOfParliament	Election	+	+	0.666200
MixedMartialArtsEvent	Cycad	+	+	0.666200
Game	RugbyLeague	+	+	0.666200
Hotel	AmericanFootballPlayer	+	+	0.666200
Book	President	+	+	0.830817
PlayboyPlaymate	Project	+	+	0.666200
Legislature	Cleric	+	+	0.978717
Convention	MilitaryPerson	+	+	0.666200
Grape	InlineHockeyLeague	+	+	0.666200
PopulatedPlace	RecordLabel	+	+	0.666200
YearInSpaceflight	AdministrativeRegion	+	+	0.666200
MusicGenre	BroadcastNetwork	+	+	0.666200
SoftballLeague	LaunchPad	+	+	0.666200
Automobile	Writer	+	+	0.763795
MilitaryPerson	Gnetophytes	+	+	0.666200
PoliticalParty	Archaea	+	+	0.666200
MilitaryConflict	LaunchPad	+	+	0.666200
WrittenWork	FieldHockeyLeague	+	+	0.666200
Archaea	SpaceStation	+	+	0.666200
Architect	Aircraft	+	+	0.879299
Criminal	TennisLeague	+	+	0.666200
Judge	BasketballLeague	+	+	0.666200
Scientist	ClubMoss	+	+	0.666200
FilmFestival	MixedMartialArtsEvent	+	+	0.666200
NascarDriver	RailwayTunnel	+	+	0.666200
MixedMartialArtsLeague	CanadianFootballTeam	+	+	0.666200
ShoppingMall	Monarch	+	+	0.666200
LacrosseLeague	Vein	+	+	0.666200
Airline	School	+	+	0.576393
Game	CanadianFootballLeague	+	+	0.666200
Airline	EducationalInstitution	+	+	0.666200
YearInSpaceflight	AustralianRulesFootballPlayer	+	+	0.666200
Film	Race	+	+	0.532560
PlayboyPlaymate	ProtectedArea	+	+	0.666200
Non-ProfitOrganisation	Judge	+	+	0.666200
Conifer	AutomobileEngine	+	+	0.666200
Mammal	ChemicalSubstance	+	+	0.666200
Infrastructure	Criminal	+	+	0.964325
GivenName	OfficeHolder	+	+	0.666200
PopulatedPlace	SportsEvent	+	+	0.666200
FilmFestival	Event	-	+	0.666200
PeriodicalLiterature	Wrestler	+	+	0.666200
Ship	AmericanFootballPlayer	+	+	0.666200
Cardinal	PoliticalParty	+	+	0.666200
SnookerWorldRanking	Musical	+	+	0.666200
SkiArea	Judge	+	+	0.666200
Cave	Crustacean	+	+	0.933918
Holiday	FieldHockeyLeague	+	+	0.666200
ChristianBishop	Work	+	+	0.666200
GovernmentAgency	Colour	+	+	0.666200
TelevisionShow	ResearchProject	+	+	0.666200
Hospital	Weapon	+	+	0.860525
River	RadioStation	+	+	0.666200
PrimeMinister	TradeUnion	+	+	0.666200
Continent	SoccerLeague	+	+	0.666200
Stadium	Activity	+	+	0.639336
LacrosseLeague	Film	+	+	0.666200
SportsTeam	ResearchProject	+	+	0.666200
PoloLeague	Criminal	+	+	0.666200
Insect	Town	+	-	0.400536
SpaceShuttle	ChemicalSubstance	+	+	0.666200
Election	Journalist	+	+	0.978717
SpeedwayTeam	Lighthouse	+	+	0.666200
BodyOfWater	Wrestler	+	+	0.666200
Athlete	Person	-	-	0.211909
Song	GreenAlga	+	+	0.666200
Device	Cyclist	+	+	0.841947
Rocket	Bacteria	+	+	0.841947
GivenName	Eukaryote	+	+	0.666200
Astronaut	Chancellor	-	+	0.576393
PrimeMinister	Website	+	+	0.666200
NationalCollegiateAthleticAssociationAthlete	FormulaOneRacer	-	+	0.666200
GrandPrix	Lighthouse	+	+	0.666200
RoadTunnel	Valley	+	+	0.666200
Saint	Station	+	+	0.841947
BaseballPlayer	Cardinal	-	+	0.666200
SoccerLeague	Person	+	+	0.666200
Amphibian	FigureSkater	+	+	0.666200
LacrosseLeague	Beverage	+	+	0.666200
Currency	Cycad	+	+	0.964325
Colour	Monarch	+	+	0.933918
Song	Mollusca	+	+	0.783079
Stadium	Mammal	+	+	0.841947
Band	Mammal	+	+	0.841947
ChristianBishop	Ambassador	-	+	0.666200
MemberOfParliament	AmericanFootballTeam	+	+	0.666200
WorldHeritageSite	Person	+	+	0.666200
TennisLeague	RugbyPlayer	+	+	0.666200
Ginkgo	OfficeHolder	+	+	0.841947
CricketLeague	ProtectedArea	+	+	0.666200
Infrastructure	Database	+	+	0.783079
SupremeCourtOfTheUnitedStatesCase	Hospital	+	+	0.666200
AustralianRulesFootballPlayer	School	+	+	0.666200
Convention	AutoRacingLeague	+	+	0.666200
FigureSkater	President	-	+	0.666200
PlayboyPlaymate	Restaurant	+	+	0.666200
Conifer	Drug	+	+	0.990639
Settlement	Writer	+	+	0.639336
BasketballPlayer	BaseballPlayer	-	-	0.145250
LacrosseLeague	FictionalCharacter	+	+	0.666200
BodyOfWater	Archaea	+	+	0.666200
GolfLeague	Event	+	+	0.666200
Organisation	Ship	+	+	0.929940
Software	CricketLeague	+	+	0.666200
VideoGame	Activity	+	+	0.666200
SoccerClub	NationalCollegiateAthleticAssociationAthlete	+	+	0.666200
MixedMartialArtsLeague	Musical	+	+	0.666200
Embryology	NaturalPlace	+	+	0.666200
RailwayLine	Drug	+	+	0.666200
Boxer	TennisLeague	+	+	0.666200
ComicsCreator	TradeUnion	+	+	0.666200
Boxer	MartialArtist	-	+	0.666200
Island	SnookerWorldRanking	+	+	0.666200
SnookerChamp	Fern	+	+	0.666200
WrestlingEvent	Rocket	+	+	0.666200
Book	BritishRoyalty	+	+	0.666200
TelevisionStation	RugbyLeague	+	+	0.666200
River	Weapon	+	+	0.933918
Monument	Work	+	-	0.456360
School	Plant	+	+	0.532560
VideogamesLeague	AustralianFootballLeague	+	+	0.507089
Arachnid	Website	+	+	0.783079
Museum	TelevisionStation	+	+	0.666200
Crustacean	Theatre	+	+	0.975094
SportsLeague	Village	+	+	0.666200
SpaceShuttle	Person	+	+	0.666200
Sport	Architect	+	+	0.841947
Beverage	Disease	+	+	0.990639
Infrastructure	WrestlingEvent	+	+	0.666200
InlineHockeyLeague	Software	+	+	0.666200
SoccerManager	Eukaryote	+	+	0.666200
Bridge	BaseballLeague	+	+	0.666200
HockeyTeam	HistoricPlace	+	+	0.666200
Language	Single	+	+	0.639336
Band	RoadJunction	+	+	0.666200
Road	SupremeCourtOfTheUnitedStatesCase	+	+	0.666200
Senator	Park	+	+	0.841947
Bacteria	RadioStation	+	+	0.666200
TennisLeague	PowerStation	+	+	0.666200
AutomobileEngine	Colour	+	+	0.666200
Criminal	Airline	+	+	0.783079
SportsLeague	SoccerClub	+	+	0.666200
Language	SupremeCourtOfTheUnitedStatesCase	+	+	0.666200
Hotel	Arachnid	+	+	0.975094
AcademicJournal	Chancellor	+	+	0.666200
Stadium	Muscle	+	+	0.933918
Senator	PublicTransitSystem	+	+	0.666200
TennisLeague	President	+	+	0.666200
Valley	TelevisionShow	+	+	0.666200
Politician	NaturalPlace	+	+	0.666200
RadioStation	ProgrammingLanguage	+	+	0.666200
RailwayLine	OlympicResult	+	+	0.666200
HistoricPlace	Fern	+	+	0.666200
TelevisionEpisode	NascarDriver	+	+	0.666200
Judge	Rocket	+	+	0.841947
Canal	RoadJunction	+	+	0.666200
Plant	EurovisionSongContestEntry	+	+	0.666200
WineRegion	ClubMoss	+	+	0.666200
Canal	SupremeCourtOfTheUnitedStatesCase	+	+	0.666200
GrandPrix	ClubMoss	+	+	0.666200
Grape	Airport	+	+	0.841947
Boxer	RailwayTunnel	+	+	0.666200
PlayboyPlaymate	Embryology	+	+	0.666200
Mayor	SpeedwayTeam	+	+	0.666200
Bridge	ComicsCharacter	+	+	0.666200
Philosopher	Tunnel	+	+	0.841947
ClubMoss	Senator	+	+	0.666200
MixedMartialArtsEvent	AutomobileEngine	+	+	0.666200
VideogamesLeague	SportsTeam	+	+	0.666200
GivenName	PoloLeague	+	+	0.666200
Artery	Scientist	+	+	0.841947
MilitaryUnit	Company	+	+	0.666200
Philosopher	Book	+	-	0.400536
Cricketer	Theatre	+	+	0.576393
SpeedwayLeague	TennisPlayer	+	+	0.666200
President	Reptile	+	+	0.675950
Colour	LacrosseLeague	+	+	0.666200
Fungus	LacrosseLeague	+	+	0.666200
Currency	Bone	+	+	0.938767
SpeedwayTeam	RailwayLine	+	+	0.666200
InlineHockeyLeague	AcademicJournal	+	+	0.666200
SoccerClub	Island	+	+	0.666200
Automobile	SoccerLeague	+	+	0.666200
Work	Actor	+	-	0.400536
Beverage	MartialArtist	+	+	0.666200
LunarCrater	Cleric	+	+	0.666200
ChristianBishop	Bone	+	+	0.666200
OlympicResult	School	+	+	0.666200
Species	InlineHockeyLeague	+	+	0.666200
MemberOfParliament	FilmFestival	+	+	0.666200
Beverage	Senator	+	+	0.933918
RoadJunction	Sport	+	+	0.666200
Ginkgo	Gnetophytes	+	+	0.666200
Brain	Model	+	+	0.532560
OfficeHolder	SoccerLeague	+	+	0.666200
MilitaryConflict	BasketballPlayer	+	+	0.666200
Olympics	Fish	+	+	0.978717
Amphibian	RailwayTunnel	+	+	0.666200
Nerve	Lighthouse	+	+	0.990639
BasketballLeague	Plant	+	+	0.666200
BaseballLeague	Settlement	+	+	0.666200
AmericanFootballPlayer	Protein	+	+	0.666200
BiologicalDatabase	School	+	+	0.666200
IceHockeyPlayer	ChemicalSubstance	+	+	0.666200
AmericanFootballLeague	Airline	+	+	0.666200
AnatomicalStructure	NationalCollegiateAthleticAssociationAthlete	+	+	0.666200
Airline	AmericanFootballPlayer	+	+	0.666200
Beverage	RouteOfTransportation	+	+	0.666200
MilitaryPerson	Governor	-	+	0.666200
Journalist	SpaceShuttle	+	+	0.666200
FigureSkater	YearInSpaceflight	+	+	0.666200
Language	Senator	+	+	0.978717
PlayboyPlaymate	WrestlingEvent	+	+	0.666200
MilitaryConflict	Politician	+	+	0.666200
PoloLeague	Fish	+	+	0.666200
RoadJunction	Website	+	+	0.666200
Continent	TradeUnion	+	+	0.666200
Moss	PoliticalParty	+	+	0.666200
RadioStation	AustralianRulesFootballPlayer	+	+	0.666200
City	VideoGame	+	+	0.666200
MountainRange	University	+	+	0.666200
SnookerWorldRanking	BaseballLeague	+	+	0.666200
EthnicGroup	ResearchProject	+	+	0.666200
FigureSkater	Gnetophytes	+	+	0.666200
Software	AdministrativeRegion	+	+	0.666200
Country	PopulatedPlace	-	+	0.666200
Crustacean	RailwayLine	+	+	0.666200
Band	Building	+	-	0.211909
Chancellor	Database	+	+	0.978717
Cave	Drug	+	+	0.975094
MusicalArtist	Locomotive	+	+	0.666200
Species	HockeyTeam	+	+	0.666200
FieldHockeyLeague	Stream	+	+	0.666200
MilitaryConflict	ProgrammingLanguage	+	+	0.666200
MusicalArtist	Conifer	+	+	0.666200
Plant	BodyOfWater	+	+	0.666200
NaturalPlace	Monarch	+	+	0.666200
SoccerLeague	AmericanFootballTeam	+	+	0.666200
SpeedwayLeague	EurovisionSongContestEntry	+	+	0.666200
OfficeHolder	Island	+	+	0.975094
FilmFestival	PlayboyPlaymate	+	+	0.666200
AdministrativeRegion	Reptile	+	+	0.666200
SoccerClub	RailwayLine	+	+	0.666200
Bridge	Convention	+	+	0.841947
MusicalWork	Sport	+	+	0.666200
Database	Album	+	+	0.978717
Settlement	SupremeCourtOfTheUnitedStatesCase	+	+	0.666200
Hospital	Song	+	+	0.698328
RailwayLine	IceHockeyLeague	+	+	0.666200
RoadTunnel	FormulaOneRacer	+	+	0.666200
Nerve	Muscle	+	-	0.211909
Arachnid	LegalCase	+	+	0.666200
MusicalWork	CanadianFootballLeague	+	+	0.666200
GolfLeague	Automobile	+	+	0.666200
Insect	Lymph	+	+	0.783079
Senator	Cyclist	-	+	0.841947
WrittenWork	Work	-	-	0.145250
Plant	RoadTunnel	+	+	0.666200
Airline	Place	+	+	0.783079
Locomotive	LaunchPad	+	+	0.576393
GridironFootballPlayer	PopulatedPlace	+	+	0.666200
Musical	Station	+	+	0.675950
BaseballLeague	SportsTeam	+	+	0.666200
Magazine	Beverage	+	+	0.933918
Insect	Boxer	+	+	0.841947
SportsEvent	IceHockeyLeague	+	+	0.666200
FloweringPlant	BasketballLeague	+	+	0.666200
BasketballTeam	BiologicalDatabase	+	+	0.666200
Bird	PoliticalParty	+	+	0.666200
BroadcastNetwork	Musical	+	+	0.666200
GovernmentAgency	EurovisionSongContestEntry	+	+	0.666200
Song	BasketballPlayer	+	+	0.666200
Locomotive	Cycad	+	+	0.783079
VideogamesLeague	AmericanFootballTeam	+	+	0.666200
Website	NaturalPlace	+	+	0.666200
SkiArea	Architect	+	+	0.666200
SupremeCourtOfTheUnitedStatesCase	Play	+	+	0.666200
VolleyballLeague	HistoricBuilding	+	+	0.666200
Judge	Single	+	+	0.978717
BritishRoyalty	Tunnel	+	+	0.666200
AustralianRulesFootballPlayer	Holiday	+	+	0.666200
Arachnid	Country	+	+	0.933918
ComicsCharacter	AutoRacingLeague	+	+	0.666200
Game	Astronaut	+	+	0.648719
Lighthouse	Ship	+	+	0.675950
Lighthouse	Company	+	+	0.975094
GaelicGamesPlayer	Website	+	+	0.666200
MilitaryConflict	Non-ProfitOrganisation	+	+	0.666200
Astronaut	PoliticalParty	+	+	0.666200
City	Cyclist	+	+	0.933918
Bacteria	MeanOfTransportation	+	+	0.666200
SoccerManager	Hospital	+	+	0.666200
Astronaut	CanadianFootballTeam	+	+	0.666200
PeriodicalLiterature	Colour	+	+	0.666200
ResearchProject	IceHockeyLeague	+	+	0.666200
GovernmentAgency	Mayor	+	+	0.666200
AmericanFootballLeague	RoadJunction	+	+	0.666200
Artery	AmericanFootballPlayer	+	+	0.666200
Eukaryote	AmericanFootballTeam	+	+	0.666200
Company	SportsLeague	+	+	0.666200
SpaceMission	HistoricBuilding	+	+	0.666200
Fungus	SoccerPlayer	+	+	0.666200
ChemicalSubstance	RailwayLine	+	+	0.666200
Album	Village	+	+	0.933918
Non-ProfitOrganisation	LegalCase	+	+	0.666200
PoloLeague	RouteOfTransportation	+	+	0.666200
Cleric	MountainRange	+	+	0.666200
VideogamesLeague	WaterwayTunnel	+	+	0.666200
Play	Lymph	+	+	0.783079
TradeUnion	Grape	+	+	0.666200
Politician	PeriodicalLiterature	+	+	0.666200
Vein	Airport	+	+	0.841947
RailwayTunnel	SoccerClub	+	+	0.666200
Library	SportsTeam	+	+	0.666200
Cyclist	FilmFestival	+	+	0.666200
TelevisionStation	Muscle	+	+	0.666200
Species	RoadJunction	+	+	0.666200
MartialArtist	Cyclist	-	+	0.507089
University	Arachnid	+	+	0.841947
Fern	MotorcycleRacingLeague	+	+	0.666200
MotorcycleRacingLeague	Award	+	+	0.666200
Journalist	Crustacean	+	+	0.841947
Eukaryote	GridironFootballPlayer	+	+	0.666200
Convention	Writer	+	+	0.929940
Embryology	Judge	+	+	0.964325
ChemicalSubstance	Arachnid	+	+	0.666200
Legislature	FictionalCharacter	+	+	0.666200
GolfPlayer	Disease	+	+	0.666200
Saint	SnookerPlayer	-	+	0.666200
Stream	SoccerLeague	+	+	0.666200
Athlete	ChristianBishop	-	+	0.666200
Lighthouse	AmericanFootballPlayer	+	+	0.666200
HockeyTeam	Device	+	+	0.666200
Judge	AnatomicalStructure	+	+	0.666200
RailwayTunnel	GolfLeague	+	+	0.666200
LaunchPad	MixedMartialArtsLeague	+	+	0.666200
Philosopher	CanadianFootballTeam	+	+	0.666200
BroadcastNetwork	Artery	+	+	0.666200
Automobile	AustralianFootballLeague	+	+	0.666200
