concept1	concept2	correctclass	ledaclass	conf
Settlement	EducationalInstitution	+	-	0.480368
Eukaryote	Name	+	-	0.128685
BaseballLeague	HistoricBuilding	+	-	0.480368
WrittenWork	WineRegion	+	-	0.111822
Artery	ResearchProject	+	-	0.480368
Country	GivenName	+	-	0.480368
TennisLeague	IceHockeyPlayer	+	-	0.480368
Album	Person	+	+	0.520253
Island	Bone	+	-	0.315694
Continent	AustralianFootballLeague	+	-	0.480368
AnatomicalStructure	Grape	+	-	0.480368
Mammal	IceHockeyPlayer	+	-	0.480368
Senator	Island	+	+	0.520253
SnookerChamp	LaunchPad	+	-	0.480368
Event	GreenAlga	+	-	0.480368
Journalist	Organisation	+	-	0.315694
Vein	AustralianRulesFootballPlayer	+	-	0.480368
NaturalPlace	Cleric	+	-	0.480368
BaseballLeague	BroadcastNetwork	+	-	0.480368
Scientist	InlineHockeyLeague	+	-	0.480368
Disease	WomensTennisAssociationTournament	+	-	0.480368
Fish	Lighthouse	+	+	0.520253
PoloLeague	MilitaryUnit	+	-	0.480368
Philosopher	LacrosseLeague	+	-	0.480368
Actor	Currency	+	+	0.520253
Philosopher	NationalCollegiateAthleticAssociationAthlete	-	-	0.480368
GrandPrix	WineRegion	+	-	0.480368
BodyOfWater	Amphibian	+	-	0.480368
MartialArtist	Person	-	-	0.072351
GaelicGamesPlayer	Town	+	-	0.480368
Saint	Fungus	+	+	0.808329
Station	Fern	+	-	0.128685
Stream	PublicTransitSystem	+	-	0.480368
Writer	Astronaut	-	+	0.520253
Language	Organisation	+	-	0.315694
Magazine	Amphibian	+	+	0.520253
ChemicalCompound	MusicalArtist	+	-	0.111822
MartialArtist	ArchitecturalStructure	+	-	0.480368
SoccerManager	Cleric	-	-	0.480368
SpaceMission	WorldHeritageSite	+	-	0.480368
Country	BroadcastNetwork	+	-	0.480368
Song	SpaceStation	+	-	0.111822
ProgrammingLanguage	Lighthouse	+	-	0.480368
Website	IceHockeyPlayer	+	-	0.480368
GolfPlayer	Insect	+	-	0.480368
Project	Congressman	+	+	0.520253
SpaceMission	Planet	+	-	0.480368
Race	Restaurant	+	-	0.128685
Station	Eukaryote	+	+	0.520253
Website	Project	+	+	0.520253
BiologicalDatabase	WaterwayTunnel	+	-	0.480368
SpeedwayLeague	Book	+	-	0.480368
Song	Project	+	+	0.520253
Food	Holiday	+	+	0.520253
PoloLeague	Database	+	-	0.111822
SoftballLeague	Rocket	+	-	0.480368
Bird	ChemicalSubstance	+	-	0.480368
MusicFestival	FloweringPlant	+	-	0.480368
GrandPrix	Election	+	-	0.480368
Planet	Activity	+	-	0.315694
SoccerManager	Grape	+	-	0.480368
RugbyLeague	SpaceShuttle	+	-	0.480368
PersonFunction	GridironFootballPlayer	+	-	0.480368
WaterwayTunnel	Organisation	+	-	0.480368
Non-ProfitOrganisation	Athlete	+	-	0.480368
SportsEvent	Mollusca	+	-	0.480368
GreenAlga	NaturalPlace	+	-	0.480368
SoccerManager	CanadianFootballLeague	+	-	0.480368
Athlete	OfficeHolder	-	+	0.520253
FilmFestival	SnookerPlayer	+	-	0.480368
Senator	BasketballPlayer	-	-	0.480368
GivenName	Airline	+	-	0.111822
SpeedwayTeam	Lake	+	-	0.480368
Town	MixedMartialArtsLeague	+	-	0.480368
Scientist	Lake	+	+	0.520253
BasketballTeam	Airline	+	-	0.480368
Magazine	Cardinal	+	+	0.520253
Judge	Lighthouse	+	-	0.128685
Village	AutoRacingLeague	+	-	0.480368
SoccerPlayer	ComicsCharacter	-	-	0.111822
Gnetophytes	AutomobileEngine	+	-	0.480368
Village	Game	+	-	0.128685
Bridge	Continent	+	+	0.520253
CanadianFootballLeague	Person	+	-	0.480368
TelevisionEpisode	PoloLeague	+	-	0.480368
Restaurant	Wrestler	+	-	0.128685
MotorcycleRacingLeague	Race	+	-	0.111822
Film	WorldHeritageSite	+	-	0.480368
Film	Food	+	-	0.128685
Building	BiologicalDatabase	+	-	0.480368
PersonFunction	OfficeHolder	+	-	0.480368
VolleyballLeague	GolfLeague	+	-	0.111822
TelevisionEpisode	Activity	+	-	0.480368
Artery	Boxer	+	+	0.520253
Disease	Election	+	+	0.520253
Monarch	Album	+	+	0.520253
VideogamesLeague	BroadcastNetwork	+	-	0.480368
Vein	AustralianFootballLeague	+	-	0.480368
Lake	GolfPlayer	+	-	0.480368
RailwayLine	LegalCase	+	-	0.111822
TennisLeague	Governor	+	-	0.480368
AdministrativeRegion	Saint	+	-	0.480368
PoloLeague	OlympicResult	+	-	0.480368
Town	LacrosseLeague	+	-	0.480368
ComicsCreator	HandballLeague	+	-	0.480368
MemberOfParliament	Election	+	-	0.480368
MixedMartialArtsEvent	Cycad	+	-	0.480368
Game	RugbyLeague	+	-	0.111822
Hotel	AmericanFootballPlayer	+	-	0.480368
Book	President	+	-	0.315694
PlayboyPlaymate	Project	+	-	0.111822
Legislature	Cleric	+	+	0.520253
Convention	MilitaryPerson	+	-	0.111822
Grape	InlineHockeyLeague	+	-	0.480368
PopulatedPlace	RecordLabel	+	-	0.480368
YearInSpaceflight	AdministrativeRegion	+	-	0.480368
MusicGenre	BroadcastNetwork	+	-	0.480368
SoftballLeague	LaunchPad	+	-	0.480368
Automobile	Writer	+	-	0.315694
MilitaryPerson	Gnetophytes	+	-	0.480368
PoliticalParty	Archaea	+	-	0.480368
MilitaryConflict	LaunchPad	+	-	0.480368
WrittenWork	FieldHockeyLeague	+	-	0.480368
Archaea	SpaceStation	+	-	0.480368
Architect	Aircraft	+	-	0.128685
Criminal	TennisLeague	+	-	0.480368
Judge	BasketballLeague	+	-	0.111822
Scientist	ClubMoss	+	-	0.480368
FilmFestival	MixedMartialArtsEvent	+	-	0.480368
NascarDriver	RailwayTunnel	+	-	0.480368
MixedMartialArtsLeague	CanadianFootballTeam	+	-	0.480368
ShoppingMall	Monarch	+	-	0.480368
LacrosseLeague	Vein	+	-	0.480368
Airline	School	+	+	0.520253
Game	CanadianFootballLeague	+	-	0.480368
Airline	EducationalInstitution	+	-	0.480368
YearInSpaceflight	AustralianRulesFootballPlayer	+	-	0.480368
Film	Race	+	+	0.520253
PlayboyPlaymate	ProtectedArea	+	-	0.480368
Non-ProfitOrganisation	Judge	+	-	0.480368
Conifer	AutomobileEngine	+	-	0.480368
Mammal	ChemicalSubstance	+	-	0.480368
Infrastructure	Criminal	+	+	0.520253
GivenName	OfficeHolder	+	-	0.480368
PopulatedPlace	SportsEvent	+	-	0.480368
FilmFestival	Event	-	-	0.072351
PeriodicalLiterature	Wrestler	+	-	0.480368
Ship	AmericanFootballPlayer	+	-	0.480368
Cardinal	PoliticalParty	+	-	0.480368
SnookerWorldRanking	Musical	+	-	0.480368
SkiArea	Judge	+	-	0.480368
Cave	Crustacean	+	-	0.128685
Holiday	FieldHockeyLeague	+	-	0.480368
ChristianBishop	Work	+	-	0.480368
GovernmentAgency	Colour	+	-	0.480368
TelevisionShow	ResearchProject	+	-	0.480368
Hospital	Weapon	+	+	0.520253
River	RadioStation	+	-	0.111822
PrimeMinister	TradeUnion	+	-	0.480368
Continent	SoccerLeague	+	-	0.480368
Stadium	Activity	+	-	0.315694
LacrosseLeague	Film	+	-	0.480368
SportsTeam	ResearchProject	+	-	0.480368
PoloLeague	Criminal	+	-	0.480368
Insect	Town	+	-	0.315694
SpaceShuttle	ChemicalSubstance	+	-	0.480368
Election	Journalist	+	+	0.520253
SpeedwayTeam	Lighthouse	+	-	0.480368
BodyOfWater	Wrestler	+	-	0.111822
Athlete	Person	-	-	0.037464
Song	GreenAlga	+	-	0.480368
Device	Cyclist	+	+	0.520253
Rocket	Bacteria	+	+	0.520253
GivenName	Eukaryote	+	-	0.111822
Astronaut	Chancellor	-	+	0.520253
PrimeMinister	Website	+	-	0.480368
NationalCollegiateAthleticAssociationAthlete	FormulaOneRacer	-	-	0.480368
GrandPrix	Lighthouse	+	-	0.480368
RoadTunnel	Valley	+	-	0.480368
Saint	Station	+	-	0.128685
BaseballPlayer	Cardinal	-	-	0.480368
SoccerLeague	Person	+	-	0.480368
Amphibian	FigureSkater	+	-	0.480368
LacrosseLeague	Beverage	+	-	0.111822
Currency	Cycad	+	-	0.128685
Colour	Monarch	+	+	0.520253
Song	Mollusca	+	+	0.520253
Stadium	Mammal	+	+	0.520253
Band	Mammal	+	+	0.520253
ChristianBishop	Ambassador	-	-	0.480368
MemberOfParliament	AmericanFootballTeam	+	-	0.480368
WorldHeritageSite	Person	+	-	0.480368
TennisLeague	RugbyPlayer	+	-	0.480368
Ginkgo	OfficeHolder	+	+	0.520253
CricketLeague	ProtectedArea	+	-	0.480368
Infrastructure	Database	+	-	0.128685
SupremeCourtOfTheUnitedStatesCase	Hospital	+	-	0.480368
AustralianRulesFootballPlayer	School	+	-	0.480368
Convention	AutoRacingLeague	+	-	0.480368
FigureSkater	President	-	-	0.480368
PlayboyPlaymate	Restaurant	+	-	0.480368
Conifer	Drug	+	+	0.520253
Settlement	Writer	+	-	0.315694
BasketballPlayer	BaseballPlayer	-	-	0.111822
LacrosseLeague	FictionalCharacter	+	-	0.480368
BodyOfWater	Archaea	+	-	0.480368
GolfLeague	Event	+	-	0.480368
Organisation	Ship	+	-	0.315694
Software	CricketLeague	+	-	0.111822
VideoGame	Activity	+	-	0.480368
SoccerClub	NationalCollegiateAthleticAssociationAthlete	+	-	0.480368
MixedMartialArtsLeague	Musical	+	-	0.480368
Embryology	NaturalPlace	+	-	0.480368
RailwayLine	Drug	+	-	0.480368
Boxer	TennisLeague	+	-	0.480368
ComicsCreator	TradeUnion	+	-	0.480368
Boxer	MartialArtist	-	-	0.480368
Island	SnookerWorldRanking	+	-	0.480368
SnookerChamp	Fern	+	-	0.480368
WrestlingEvent	Rocket	+	-	0.111822
Book	BritishRoyalty	+	-	0.111822
TelevisionStation	RugbyLeague	+	-	0.480368
River	Weapon	+	+	0.520253
Monument	Work	+	+	0.520253
School	Plant	+	+	0.520253
VideogamesLeague	AustralianFootballLeague	+	-	0.111822
Arachnid	Website	+	+	0.520253
Museum	TelevisionStation	+	-	0.480368
Crustacean	Theatre	+	+	0.520253
SportsLeague	Village	+	-	0.111822
SpaceShuttle	Person	+	-	0.480368
Sport	Architect	+	-	0.128685
Beverage	Disease	+	-	0.128685
Infrastructure	WrestlingEvent	+	-	0.480368
InlineHockeyLeague	Software	+	-	0.480368
SoccerManager	Eukaryote	+	-	0.480368
Bridge	BaseballLeague	+	-	0.111822
HockeyTeam	HistoricPlace	+	-	0.480368
Language	Single	+	-	0.059116
Band	RoadJunction	+	-	0.480368
Road	SupremeCourtOfTheUnitedStatesCase	+	-	0.480368
Senator	Park	+	+	0.520253
Bacteria	RadioStation	+	-	0.480368
TennisLeague	PowerStation	+	-	0.480368
AutomobileEngine	Colour	+	-	0.480368
Criminal	Airline	+	+	0.520253
SportsLeague	SoccerClub	+	-	0.111822
Language	SupremeCourtOfTheUnitedStatesCase	+	-	0.480368
Hotel	Arachnid	+	+	0.520253
AcademicJournal	Chancellor	+	-	0.480368
Stadium	Muscle	+	+	0.520253
Senator	PublicTransitSystem	+	-	0.480368
TennisLeague	President	+	-	0.480368
Valley	TelevisionShow	+	-	0.480368
Politician	NaturalPlace	+	-	0.480368
RadioStation	ProgrammingLanguage	+	-	0.480368
RailwayLine	OlympicResult	+	-	0.480368
HistoricPlace	Fern	+	-	0.480368
TelevisionEpisode	NascarDriver	+	-	0.480368
Judge	Rocket	+	+	0.520253
Canal	RoadJunction	+	-	0.480368
Plant	EurovisionSongContestEntry	+	-	0.480368
WineRegion	ClubMoss	+	-	0.480368
Canal	SupremeCourtOfTheUnitedStatesCase	+	-	0.480368
GrandPrix	ClubMoss	+	-	0.480368
Grape	Airport	+	+	0.520253
Boxer	RailwayTunnel	+	-	0.480368
PlayboyPlaymate	Embryology	+	-	0.480368
Mayor	SpeedwayTeam	+	-	0.480368
Bridge	ComicsCharacter	+	-	0.480368
Philosopher	Tunnel	+	+	0.520253
ClubMoss	Senator	+	-	0.480368
MixedMartialArtsEvent	AutomobileEngine	+	-	0.480368
VideogamesLeague	SportsTeam	+	-	0.480368
GivenName	PoloLeague	+	-	0.111822
Artery	Scientist	+	+	0.520253
MilitaryUnit	Company	+	-	0.480368
Philosopher	Book	+	-	0.315694
Cricketer	Theatre	+	+	0.520253
SpeedwayLeague	TennisPlayer	+	-	0.480368
President	Reptile	+	+	0.520253
Colour	LacrosseLeague	+	-	0.480368
Fungus	LacrosseLeague	+	-	0.480368
Currency	Bone	+	+	0.520253
SpeedwayTeam	RailwayLine	+	-	0.480368
InlineHockeyLeague	AcademicJournal	+	-	0.480368
SoccerClub	Island	+	-	0.480368
Automobile	SoccerLeague	+	-	0.111822
Work	Actor	+	-	0.315694
Beverage	MartialArtist	+	-	0.480368
LunarCrater	Cleric	+	-	0.480368
ChristianBishop	Bone	+	-	0.480368
OlympicResult	School	+	-	0.480368
Species	InlineHockeyLeague	+	-	0.480368
MemberOfParliament	FilmFestival	+	-	0.480368
Beverage	Senator	+	+	0.520253
RoadJunction	Sport	+	-	0.480368
Ginkgo	Gnetophytes	+	-	0.111822
Brain	Model	+	+	0.520253
OfficeHolder	SoccerLeague	+	-	0.480368
MilitaryConflict	BasketballPlayer	+	-	0.480368
Olympics	Fish	+	+	0.520253
Amphibian	RailwayTunnel	+	-	0.480368
Nerve	Lighthouse	+	-	0.128685
BasketballLeague	Plant	+	-	0.480368
BaseballLeague	Settlement	+	-	0.480368
AmericanFootballPlayer	Protein	+	-	0.480368
BiologicalDatabase	School	+	-	0.480368
IceHockeyPlayer	ChemicalSubstance	+	-	0.480368
AmericanFootballLeague	Airline	+	-	0.111822
AnatomicalStructure	NationalCollegiateAthleticAssociationAthlete	+	-	0.480368
Airline	AmericanFootballPlayer	+	-	0.480368
Beverage	RouteOfTransportation	+	-	0.480368
MilitaryPerson	Governor	-	-	0.480368
Journalist	SpaceShuttle	+	-	0.480368
FigureSkater	YearInSpaceflight	+	-	0.480368
Language	Senator	+	+	0.520253
PlayboyPlaymate	WrestlingEvent	+	-	0.480368
MilitaryConflict	Politician	+	-	0.480368
PoloLeague	Fish	+	-	0.480368
RoadJunction	Website	+	-	0.480368
Continent	TradeUnion	+	-	0.480368
Moss	PoliticalParty	+	-	0.480368
RadioStation	AustralianRulesFootballPlayer	+	-	0.480368
City	VideoGame	+	-	0.480368
MountainRange	University	+	-	0.480368
SnookerWorldRanking	BaseballLeague	+	-	0.480368
EthnicGroup	ResearchProject	+	-	0.480368
FigureSkater	Gnetophytes	+	-	0.480368
Software	AdministrativeRegion	+	-	0.480368
Country	PopulatedPlace	-	-	0.072351
Crustacean	RailwayLine	+	-	0.480368
Band	Building	+	-	0.059116
Chancellor	Database	+	+	0.520253
Cave	Drug	+	+	0.520253
MusicalArtist	Locomotive	+	-	0.480368
Species	HockeyTeam	+	-	0.480368
FieldHockeyLeague	Stream	+	-	0.480368
MilitaryConflict	ProgrammingLanguage	+	-	0.480368
MusicalArtist	Conifer	+	-	0.480368
Plant	BodyOfWater	+	-	0.480368
NaturalPlace	Monarch	+	-	0.480368
SoccerLeague	AmericanFootballTeam	+	-	0.480368
SpeedwayLeague	EurovisionSongContestEntry	+	-	0.480368
OfficeHolder	Island	+	+	0.520253
FilmFestival	PlayboyPlaymate	+	-	0.480368
AdministrativeRegion	Reptile	+	-	0.480368
SoccerClub	RailwayLine	+	-	0.480368
Bridge	Convention	+	+	0.520253
MusicalWork	Sport	+	-	0.480368
Database	Album	+	+	0.520253
Settlement	SupremeCourtOfTheUnitedStatesCase	+	-	0.111822
Hospital	Song	+	+	0.520253
RailwayLine	IceHockeyLeague	+	-	0.480368
RoadTunnel	FormulaOneRacer	+	-	0.480368
Nerve	Muscle	+	-	0.025384
Arachnid	LegalCase	+	-	0.480368
MusicalWork	CanadianFootballLeague	+	-	0.480368
GolfLeague	Automobile	+	-	0.111822
Insect	Lymph	+	+	0.520253
Senator	Cyclist	-	+	0.520253
WrittenWork	Work	-	-	0.010510
Plant	RoadTunnel	+	-	0.480368
Airline	Place	+	-	0.128685
Locomotive	LaunchPad	+	-	0.128685
GridironFootballPlayer	PopulatedPlace	+	-	0.480368
Musical	Station	+	+	0.520253
BaseballLeague	SportsTeam	+	-	0.480368
Magazine	Beverage	+	-	0.128685
Insect	Boxer	+	+	0.520253
SportsEvent	IceHockeyLeague	+	-	0.480368
FloweringPlant	BasketballLeague	+	-	0.480368
BasketballTeam	BiologicalDatabase	+	-	0.480368
Bird	PoliticalParty	+	-	0.480368
BroadcastNetwork	Musical	+	-	0.480368
GovernmentAgency	EurovisionSongContestEntry	+	-	0.480368
Song	BasketballPlayer	+	-	0.480368
Locomotive	Cycad	+	+	0.520253
VideogamesLeague	AmericanFootballTeam	+	-	0.480368
Website	NaturalPlace	+	-	0.111822
SkiArea	Architect	+	-	0.480368
SupremeCourtOfTheUnitedStatesCase	Play	+	-	0.480368
VolleyballLeague	HistoricBuilding	+	-	0.480368
Judge	Single	+	-	0.128685
BritishRoyalty	Tunnel	+	-	0.480368
AustralianRulesFootballPlayer	Holiday	+	-	0.480368
Arachnid	Country	+	+	0.520253
ComicsCharacter	AutoRacingLeague	+	-	0.480368
Game	Astronaut	+	+	0.520253
Lighthouse	Ship	+	+	0.520253
Lighthouse	Company	+	+	0.520253
GaelicGamesPlayer	Website	+	-	0.480368
MilitaryConflict	Non-ProfitOrganisation	+	-	0.480368
Astronaut	PoliticalParty	+	-	0.480368
City	Cyclist	+	-	0.128685
Bacteria	MeanOfTransportation	+	-	0.480368
SoccerManager	Hospital	+	-	0.480368
Astronaut	CanadianFootballTeam	+	-	0.480368
PeriodicalLiterature	Colour	+	-	0.480368
ResearchProject	IceHockeyLeague	+	-	0.480368
GovernmentAgency	Mayor	+	-	0.480368
AmericanFootballLeague	RoadJunction	+	-	0.480368
Artery	AmericanFootballPlayer	+	-	0.480368
Eukaryote	AmericanFootballTeam	+	-	0.480368
Company	SportsLeague	+	-	0.480368
SpaceMission	HistoricBuilding	+	-	0.480368
Fungus	SoccerPlayer	+	-	0.480368
ChemicalSubstance	RailwayLine	+	-	0.480368
Album	Village	+	+	0.520253
Non-ProfitOrganisation	LegalCase	+	-	0.480368
PoloLeague	RouteOfTransportation	+	-	0.480368
Cleric	MountainRange	+	-	0.480368
VideogamesLeague	WaterwayTunnel	+	-	0.480368
Play	Lymph	+	+	0.520253
TradeUnion	Grape	+	-	0.480368
Politician	PeriodicalLiterature	+	-	0.480368
Vein	Airport	+	+	0.520253
RailwayTunnel	SoccerClub	+	-	0.480368
Library	SportsTeam	+	-	0.480368
Cyclist	FilmFestival	+	-	0.480368
TelevisionStation	Muscle	+	-	0.480368
Species	RoadJunction	+	-	0.480368
MartialArtist	Cyclist	-	-	0.111822
University	Arachnid	+	+	0.520253
Fern	MotorcycleRacingLeague	+	-	0.480368
MotorcycleRacingLeague	Award	+	-	0.480368
Journalist	Crustacean	+	+	0.520253
Eukaryote	GridironFootballPlayer	+	-	0.480368
Convention	Writer	+	-	0.315694
Embryology	Judge	+	+	0.520253
ChemicalSubstance	Arachnid	+	-	0.480368
Legislature	FictionalCharacter	+	-	0.480368
GolfPlayer	Disease	+	-	0.480368
Saint	SnookerPlayer	-	-	0.111822
Stream	SoccerLeague	+	-	0.111822
Athlete	ChristianBishop	-	-	0.480368
Lighthouse	AmericanFootballPlayer	+	-	0.480368
HockeyTeam	Device	+	-	0.480368
Judge	AnatomicalStructure	+	-	0.480368
RailwayTunnel	GolfLeague	+	-	0.480368
LaunchPad	MixedMartialArtsLeague	+	-	0.480368
Philosopher	CanadianFootballTeam	+	-	0.480368
BroadcastNetwork	Artery	+	-	0.480368
Automobile	AustralianFootballLeague	+	-	0.111822
