concept1	concept2	correctclass	ledaclass	conf
PoloLeague	EducationalInstitution	+	+	0.694679
SpeedwayLeague	AutoRacingLeague	+	+	0.547097
RoadTunnel	Band	+	+	0.694679
BroadcastNetwork	SportsLeague	+	+	0.694679
Database	Cricketer	+	+	0.967095
Lake	HandballLeague	+	+	0.694679
AmericanFootballPlayer	Race	+	+	0.694679
University	AmericanFootballPlayer	+	+	0.694679
ChemicalSubstance	Building	+	+	0.694679
Boxer	InlineHockeyLeague	+	+	0.694679
Village	OlympicResult	+	+	0.694679
Work	SoccerLeague	+	+	0.694679
MeanOfTransportation	FloweringPlant	+	+	0.694679
PersonFunction	BasketballLeague	+	+	0.694679
MusicalWork	Planet	+	+	0.694679
MilitaryConflict	Work	+	+	0.694679
Database	Country	+	+	0.910110
YearInSpaceflight	Food	+	+	0.694679
PrimeMinister	SkiArea	+	+	0.694679
Congressman	MilitaryPerson	-	+	0.694679
PlayboyPlaymate	ArchitecturalStructure	+	+	0.694679
Website	Model	+	+	0.705867
Hotel	Airline	+	+	0.705867
Actor	Infrastructure	+	+	0.866956
Project	Cycad	+	+	0.967095
Species	Book	+	+	0.948349
Fungus	Criminal	+	+	0.720180
MilitaryUnit	Musical	+	+	0.694679
WomensTennisAssociationTournament	Holiday	+	+	0.694679
Ambassador	Work	+	+	0.948349
Moss	Island	+	+	0.720180
SportsEvent	TradeUnion	+	+	0.694679
Scientist	Newspaper	+	+	0.720180
SpeedwayLeague	Cycad	+	+	0.694679
SportsEvent	NascarDriver	+	+	0.694679
SportsTeam	Activity	+	+	0.694679
Brain	Senator	+	+	0.720180
WrittenWork	MartialArtist	+	+	0.694679
Athlete	Software	+	+	0.969250
Bone	BaseballPlayer	+	+	0.694679
Amphibian	SpaceMission	+	+	0.694679
Airline	ArchitecturalStructure	+	+	0.694679
GivenName	MountainRange	+	+	0.694679
MartialArtist	Automobile	+	+	0.694679
Saint	Criminal	-	-	0.363317
HandballLeague	Airline	+	+	0.694679
LunarCrater	Athlete	+	+	0.694679
Bridge	Moss	+	+	0.948349
Newspaper	LacrosseLeague	+	+	0.694679
MountainRange	FilmFestival	+	+	0.694679
Museum	Company	+	-	0.363317
Book	Island	+	+	0.802797
Museum	Project	+	+	0.969250
ChemicalCompound	Activity	+	+	0.694679
FormulaOneRacer	PersonFunction	+	+	0.694679
Athlete	BasketballPlayer	-	-	0.165610
Settlement	EducationalInstitution	+	+	0.694679
Eukaryote	Name	+	+	0.705867
BaseballLeague	HistoricBuilding	+	+	0.694679
WrittenWork	WineRegion	+	+	0.694679
Artery	ResearchProject	+	+	0.694679
Country	GivenName	+	+	0.694679
TennisLeague	IceHockeyPlayer	+	+	0.694679
Album	Person	+	+	0.948349
Island	Bone	+	+	0.691816
Continent	AustralianFootballLeague	+	+	0.694679
AnatomicalStructure	Grape	+	+	0.694679
Mammal	IceHockeyPlayer	+	+	0.694679
Senator	Island	+	+	0.910110
SnookerChamp	LaunchPad	+	+	0.694679
Event	GreenAlga	+	+	0.694679
Journalist	Organisation	+	+	0.874821
Vein	AustralianRulesFootballPlayer	+	+	0.694679
NaturalPlace	Cleric	+	+	0.694679
BaseballLeague	BroadcastNetwork	+	+	0.694679
Scientist	InlineHockeyLeague	+	+	0.694679
Disease	WomensTennisAssociationTournament	+	+	0.694679
Fish	Lighthouse	+	+	0.720180
PoloLeague	MilitaryUnit	+	+	0.694679
Philosopher	LacrosseLeague	+	+	0.694679
Actor	Currency	+	+	0.969250
Philosopher	NationalCollegiateAthleticAssociationAthlete	-	+	0.694679
GrandPrix	WineRegion	+	+	0.694679
BodyOfWater	Amphibian	+	+	0.694679
MartialArtist	Person	-	-	0.165610
GaelicGamesPlayer	Town	+	+	0.694679
Saint	Fungus	+	+	0.720180
Station	Fern	+	+	0.705867
Stream	PublicTransitSystem	+	+	0.694679
Writer	Astronaut	-	+	0.705867
Language	Organisation	+	-	0.363317
Magazine	Amphibian	+	+	0.720180
ChemicalCompound	MusicalArtist	+	+	0.694679
MartialArtist	ArchitecturalStructure	+	+	0.694679
SoccerManager	Cleric	-	+	0.694679
SpaceMission	WorldHeritageSite	+	+	0.694679
Country	BroadcastNetwork	+	+	0.694679
Song	SpaceStation	+	+	0.694679
ProgrammingLanguage	Lighthouse	+	+	0.694679
Website	IceHockeyPlayer	+	+	0.694679
GolfPlayer	Insect	+	+	0.694679
Project	Congressman	+	+	0.969250
SpaceMission	Planet	+	+	0.694679
Race	Restaurant	+	+	0.720180
Station	Eukaryote	+	+	0.705867
Website	Project	+	+	0.967095
BiologicalDatabase	WaterwayTunnel	+	+	0.694679
SpeedwayLeague	Book	+	+	0.694679
Song	Project	+	+	0.720180
Food	Holiday	+	+	0.910110
PoloLeague	Database	+	+	0.694679
SoftballLeague	Rocket	+	+	0.694679
Bird	ChemicalSubstance	+	+	0.694679
MusicFestival	FloweringPlant	+	+	0.694679
GrandPrix	Election	+	+	0.694679
Planet	Activity	+	-	0.363317
SoccerManager	Grape	+	+	0.694679
RugbyLeague	SpaceShuttle	+	+	0.694679
PersonFunction	GridironFootballPlayer	+	+	0.694679
WaterwayTunnel	Organisation	+	+	0.694679
Non-ProfitOrganisation	Athlete	+	+	0.694679
SportsEvent	Mollusca	+	+	0.694679
GreenAlga	NaturalPlace	+	+	0.694679
SoccerManager	CanadianFootballLeague	+	+	0.694679
Athlete	OfficeHolder	-	+	0.948349
FilmFestival	SnookerPlayer	+	+	0.694679
Senator	BasketballPlayer	-	+	0.694679
GivenName	Airline	+	+	0.694679
SpeedwayTeam	Lake	+	+	0.694679
Town	MixedMartialArtsLeague	+	+	0.694679
Scientist	Lake	+	+	0.720180
BasketballTeam	Airline	+	+	0.694679
Magazine	Cardinal	+	+	0.910110
Judge	Lighthouse	+	+	0.720180
Village	AutoRacingLeague	+	+	0.694679
SoccerPlayer	ComicsCharacter	-	+	0.694679
Gnetophytes	AutomobileEngine	+	+	0.694679
Village	Game	+	+	0.986344
Bridge	Continent	+	+	0.720180
CanadianFootballLeague	Person	+	+	0.694679
TelevisionEpisode	PoloLeague	+	+	0.694679
Restaurant	Wrestler	+	+	0.720180
MotorcycleRacingLeague	Race	+	+	0.694679
Film	WorldHeritageSite	+	+	0.694679
Film	Food	+	+	0.720180
Building	BiologicalDatabase	+	+	0.694679
PersonFunction	OfficeHolder	+	+	0.694679
VolleyballLeague	GolfLeague	+	-	0.166376
TelevisionEpisode	Activity	+	+	0.694679
Artery	Boxer	+	+	0.720180
Disease	Election	+	+	0.948349
Monarch	Album	+	+	0.948349
VideogamesLeague	BroadcastNetwork	+	+	0.694679
Vein	AustralianFootballLeague	+	+	0.694679
Lake	GolfPlayer	+	+	0.694679
RailwayLine	LegalCase	+	+	0.694679
TennisLeague	Governor	+	+	0.694679
AdministrativeRegion	Saint	+	+	0.694679
PoloLeague	OlympicResult	+	+	0.694679
Town	LacrosseLeague	+	+	0.694679
ComicsCreator	HandballLeague	+	+	0.694679
MemberOfParliament	Election	+	+	0.694679
MixedMartialArtsEvent	Cycad	+	+	0.694679
Game	RugbyLeague	+	+	0.694679
Hotel	AmericanFootballPlayer	+	+	0.694679
Book	President	+	+	0.802797
PlayboyPlaymate	Project	+	+	0.694679
Legislature	Cleric	+	+	0.995573
Convention	MilitaryPerson	+	+	0.694679
Grape	InlineHockeyLeague	+	+	0.694679
PopulatedPlace	RecordLabel	+	+	0.694679
YearInSpaceflight	AdministrativeRegion	+	+	0.694679
MusicGenre	BroadcastNetwork	+	+	0.694679
SoftballLeague	LaunchPad	+	+	0.694679
Automobile	Writer	+	+	0.691816
MilitaryPerson	Gnetophytes	+	+	0.694679
PoliticalParty	Archaea	+	+	0.694679
MilitaryConflict	LaunchPad	+	+	0.694679
WrittenWork	FieldHockeyLeague	+	+	0.694679
Archaea	SpaceStation	+	+	0.694679
Architect	Aircraft	+	+	0.843148
Criminal	TennisLeague	+	+	0.694679
Judge	BasketballLeague	+	+	0.694679
Scientist	ClubMoss	+	+	0.694679
FilmFestival	MixedMartialArtsEvent	+	+	0.694679
NascarDriver	RailwayTunnel	+	+	0.694679
MixedMartialArtsLeague	CanadianFootballTeam	+	+	0.694679
ShoppingMall	Monarch	+	+	0.694679
LacrosseLeague	Vein	+	+	0.694679
Airline	School	+	+	0.705867
Game	CanadianFootballLeague	+	+	0.694679
Airline	EducationalInstitution	+	+	0.694679
YearInSpaceflight	AustralianRulesFootballPlayer	+	+	0.694679
Film	Race	+	+	0.505541
PlayboyPlaymate	ProtectedArea	+	+	0.694679
Non-ProfitOrganisation	Judge	+	+	0.694679
Conifer	AutomobileEngine	+	+	0.694679
Mammal	ChemicalSubstance	+	+	0.694679
Infrastructure	Criminal	+	+	0.967095
GivenName	OfficeHolder	+	+	0.694679
PopulatedPlace	SportsEvent	+	+	0.694679
FilmFestival	Event	-	-	0.165610
PeriodicalLiterature	Wrestler	+	+	0.694679
Ship	AmericanFootballPlayer	+	+	0.694679
Cardinal	PoliticalParty	+	+	0.694679
SnookerWorldRanking	Musical	+	+	0.694679
SkiArea	Judge	+	+	0.694679
Cave	Crustacean	+	+	0.910110
Holiday	FieldHockeyLeague	+	+	0.694679
ChristianBishop	Work	+	+	0.694679
GovernmentAgency	Colour	+	+	0.694679
TelevisionShow	ResearchProject	+	+	0.694679
Hospital	Weapon	+	+	0.948349
River	RadioStation	+	+	0.694679
PrimeMinister	TradeUnion	+	+	0.694679
Continent	SoccerLeague	+	+	0.694679
Stadium	Activity	+	+	0.691816
LacrosseLeague	Film	+	+	0.694679
SportsTeam	ResearchProject	+	+	0.694679
PoloLeague	Criminal	+	+	0.694679
Insect	Town	+	-	0.363317
SpaceShuttle	ChemicalSubstance	+	+	0.694679
Election	Journalist	+	+	0.995573
SpeedwayTeam	Lighthouse	+	+	0.694679
BodyOfWater	Wrestler	+	+	0.694679
Athlete	Person	-	-	0.019391
Song	GreenAlga	+	+	0.694679
Device	Cyclist	+	+	0.720180
Rocket	Bacteria	+	+	0.720180
GivenName	Eukaryote	+	+	0.694679
Astronaut	Chancellor	-	+	0.705867
PrimeMinister	Website	+	+	0.694679
NationalCollegiateAthleticAssociationAthlete	FormulaOneRacer	-	+	0.694679
GrandPrix	Lighthouse	+	+	0.694679
RoadTunnel	Valley	+	+	0.694679
Saint	Station	+	+	0.720180
BaseballPlayer	Cardinal	-	+	0.694679
SoccerLeague	Person	+	+	0.694679
Amphibian	FigureSkater	+	+	0.694679
LacrosseLeague	Beverage	+	+	0.694679
Currency	Cycad	+	+	0.967095
Colour	Monarch	+	+	0.910110
Song	Mollusca	+	+	0.904220
Stadium	Mammal	+	+	0.720180
Band	Mammal	+	+	0.720180
ChristianBishop	Ambassador	-	+	0.694679
MemberOfParliament	AmericanFootballTeam	+	+	0.694679
WorldHeritageSite	Person	+	+	0.694679
TennisLeague	RugbyPlayer	+	+	0.694679
Ginkgo	OfficeHolder	+	+	0.720180
CricketLeague	ProtectedArea	+	+	0.694679
Infrastructure	Database	+	+	0.904220
SupremeCourtOfTheUnitedStatesCase	Hospital	+	+	0.694679
AustralianRulesFootballPlayer	School	+	+	0.694679
Convention	AutoRacingLeague	+	+	0.694679
FigureSkater	President	-	+	0.694679
PlayboyPlaymate	Restaurant	+	+	0.694679
Conifer	Drug	+	+	0.995573
Settlement	Writer	+	+	0.691816
BasketballPlayer	BaseballPlayer	-	-	0.166376
LacrosseLeague	FictionalCharacter	+	+	0.694679
BodyOfWater	Archaea	+	+	0.694679
GolfLeague	Event	+	+	0.694679
Organisation	Ship	+	+	0.980337
Software	CricketLeague	+	+	0.694679
VideoGame	Activity	+	+	0.694679
SoccerClub	NationalCollegiateAthleticAssociationAthlete	+	+	0.694679
MixedMartialArtsLeague	Musical	+	+	0.694679
Embryology	NaturalPlace	+	+	0.694679
RailwayLine	Drug	+	+	0.694679
Boxer	TennisLeague	+	+	0.694679
ComicsCreator	TradeUnion	+	+	0.694679
Boxer	MartialArtist	-	+	0.694679
Island	SnookerWorldRanking	+	+	0.694679
SnookerChamp	Fern	+	+	0.694679
WrestlingEvent	Rocket	+	+	0.694679
Book	BritishRoyalty	+	+	0.694679
TelevisionStation	RugbyLeague	+	+	0.694679
River	Weapon	+	+	0.753380
Monument	Work	+	+	0.720180
School	Plant	+	+	0.758258
VideogamesLeague	AustralianFootballLeague	+	+	0.547097
Arachnid	Website	+	+	0.904220
Museum	TelevisionStation	+	+	0.694679
Crustacean	Theatre	+	+	0.948349
SportsLeague	Village	+	+	0.694679
SpaceShuttle	Person	+	+	0.694679
Sport	Architect	+	+	0.720180
Beverage	Disease	+	+	0.969250
Infrastructure	WrestlingEvent	+	+	0.694679
InlineHockeyLeague	Software	+	+	0.694679
SoccerManager	Eukaryote	+	+	0.694679
Bridge	BaseballLeague	+	+	0.694679
HockeyTeam	HistoricPlace	+	+	0.694679
Language	Single	+	+	0.691816
Band	RoadJunction	+	+	0.694679
Road	SupremeCourtOfTheUnitedStatesCase	+	+	0.694679
Senator	Park	+	+	0.720180
Bacteria	RadioStation	+	+	0.694679
TennisLeague	PowerStation	+	+	0.694679
AutomobileEngine	Colour	+	+	0.694679
Criminal	Airline	+	+	0.904220
SportsLeague	SoccerClub	+	+	0.694679
Language	SupremeCourtOfTheUnitedStatesCase	+	+	0.694679
Hotel	Arachnid	+	+	0.948349
AcademicJournal	Chancellor	+	+	0.694679
Stadium	Muscle	+	+	0.986344
Senator	PublicTransitSystem	+	+	0.694679
TennisLeague	President	+	+	0.694679
Valley	TelevisionShow	+	+	0.694679
Politician	NaturalPlace	+	+	0.694679
RadioStation	ProgrammingLanguage	+	+	0.694679
RailwayLine	OlympicResult	+	+	0.694679
HistoricPlace	Fern	+	+	0.694679
TelevisionEpisode	NascarDriver	+	+	0.694679
Judge	Rocket	+	+	0.720180
Canal	RoadJunction	+	+	0.694679
Plant	EurovisionSongContestEntry	+	+	0.694679
WineRegion	ClubMoss	+	+	0.694679
Canal	SupremeCourtOfTheUnitedStatesCase	+	+	0.694679
GrandPrix	ClubMoss	+	+	0.694679
Grape	Airport	+	+	0.720180
Boxer	RailwayTunnel	+	+	0.694679
PlayboyPlaymate	Embryology	+	+	0.694679
Mayor	SpeedwayTeam	+	+	0.694679
Bridge	ComicsCharacter	+	+	0.694679
Philosopher	Tunnel	+	+	0.720180
ClubMoss	Senator	+	+	0.694679
MixedMartialArtsEvent	AutomobileEngine	+	+	0.694679
VideogamesLeague	SportsTeam	+	+	0.694679
GivenName	PoloLeague	+	+	0.694679
Artery	Scientist	+	+	0.720180
MilitaryUnit	Company	+	+	0.694679
Philosopher	Book	+	-	0.363317
Cricketer	Theatre	+	+	0.705867
SpeedwayLeague	TennisPlayer	+	+	0.694679
President	Reptile	+	+	0.720180
Colour	LacrosseLeague	+	+	0.694679
Fungus	LacrosseLeague	+	+	0.694679
Currency	Bone	+	+	0.948349
SpeedwayTeam	RailwayLine	+	+	0.694679
InlineHockeyLeague	AcademicJournal	+	+	0.694679
SoccerClub	Island	+	+	0.694679
Automobile	SoccerLeague	+	+	0.694679
Work	Actor	+	-	0.363317
Beverage	MartialArtist	+	+	0.694679
LunarCrater	Cleric	+	+	0.694679
ChristianBishop	Bone	+	+	0.694679
OlympicResult	School	+	+	0.694679
Species	InlineHockeyLeague	+	+	0.694679
MemberOfParliament	FilmFestival	+	+	0.694679
Beverage	Senator	+	+	0.910110
RoadJunction	Sport	+	+	0.694679
Ginkgo	Gnetophytes	+	+	0.694679
Brain	Model	+	+	0.758258
OfficeHolder	SoccerLeague	+	+	0.694679
MilitaryConflict	BasketballPlayer	+	+	0.694679
Olympics	Fish	+	+	0.995573
Amphibian	RailwayTunnel	+	+	0.694679
Nerve	Lighthouse	+	+	0.995573
BasketballLeague	Plant	+	+	0.694679
BaseballLeague	Settlement	+	+	0.694679
AmericanFootballPlayer	Protein	+	+	0.694679
BiologicalDatabase	School	+	+	0.694679
IceHockeyPlayer	ChemicalSubstance	+	+	0.694679
AmericanFootballLeague	Airline	+	+	0.694679
AnatomicalStructure	NationalCollegiateAthleticAssociationAthlete	+	+	0.694679
Airline	AmericanFootballPlayer	+	+	0.694679
Beverage	RouteOfTransportation	+	+	0.694679
MilitaryPerson	Governor	-	+	0.694679
Journalist	SpaceShuttle	+	+	0.694679
FigureSkater	YearInSpaceflight	+	+	0.694679
Language	Senator	+	+	0.969250
PlayboyPlaymate	WrestlingEvent	+	+	0.694679
MilitaryConflict	Politician	+	+	0.694679
PoloLeague	Fish	+	+	0.694679
RoadJunction	Website	+	+	0.694679
Continent	TradeUnion	+	+	0.694679
Moss	PoliticalParty	+	+	0.694679
RadioStation	AustralianRulesFootballPlayer	+	+	0.694679
City	VideoGame	+	+	0.694679
MountainRange	University	+	+	0.694679
SnookerWorldRanking	BaseballLeague	+	+	0.694679
EthnicGroup	ResearchProject	+	+	0.694679
FigureSkater	Gnetophytes	+	+	0.694679
Software	AdministrativeRegion	+	+	0.694679
Country	PopulatedPlace	-	-	0.165610
Crustacean	RailwayLine	+	+	0.694679
Band	Building	+	-	0.363317
Chancellor	Database	+	+	0.969250
Cave	Drug	+	+	0.948349
MusicalArtist	Locomotive	+	+	0.694679
Species	HockeyTeam	+	+	0.694679
FieldHockeyLeague	Stream	+	+	0.694679
MilitaryConflict	ProgrammingLanguage	+	+	0.694679
MusicalArtist	Conifer	+	+	0.694679
Plant	BodyOfWater	+	+	0.694679
NaturalPlace	Monarch	+	+	0.694679
SoccerLeague	AmericanFootballTeam	+	+	0.694679
SpeedwayLeague	EurovisionSongContestEntry	+	+	0.694679
OfficeHolder	Island	+	+	0.948349
FilmFestival	PlayboyPlaymate	+	+	0.694679
AdministrativeRegion	Reptile	+	+	0.694679
SoccerClub	RailwayLine	+	+	0.694679
Bridge	Convention	+	+	0.720180
MusicalWork	Sport	+	+	0.694679
Database	Album	+	+	0.969250
Settlement	SupremeCourtOfTheUnitedStatesCase	+	+	0.694679
Hospital	Song	+	+	0.720180
RailwayLine	IceHockeyLeague	+	+	0.694679
RoadTunnel	FormulaOneRacer	+	+	0.694679
Nerve	Muscle	+	-	0.363317
Arachnid	LegalCase	+	+	0.694679
MusicalWork	CanadianFootballLeague	+	+	0.694679
GolfLeague	Automobile	+	+	0.694679
Insect	Lymph	+	+	0.904220
Senator	Cyclist	-	+	0.720180
WrittenWork	Work	-	-	0.017113
Plant	RoadTunnel	+	+	0.694679
Airline	Place	+	+	0.904220
Locomotive	LaunchPad	+	+	0.705867
GridironFootballPlayer	PopulatedPlace	+	+	0.694679
Musical	Station	+	+	0.720180
BaseballLeague	SportsTeam	+	+	0.694679
Magazine	Beverage	+	+	0.910110
Insect	Boxer	+	+	0.720180
SportsEvent	IceHockeyLeague	+	+	0.694679
FloweringPlant	BasketballLeague	+	+	0.694679
BasketballTeam	BiologicalDatabase	+	+	0.694679
Bird	PoliticalParty	+	+	0.694679
BroadcastNetwork	Musical	+	+	0.694679
GovernmentAgency	EurovisionSongContestEntry	+	+	0.694679
Song	BasketballPlayer	+	+	0.694679
Locomotive	Cycad	+	+	0.904220
VideogamesLeague	AmericanFootballTeam	+	+	0.694679
Website	NaturalPlace	+	+	0.694679
SkiArea	Architect	+	+	0.694679
SupremeCourtOfTheUnitedStatesCase	Play	+	+	0.694679
VolleyballLeague	HistoricBuilding	+	+	0.694679
Judge	Single	+	+	0.969250
BritishRoyalty	Tunnel	+	+	0.694679
AustralianRulesFootballPlayer	Holiday	+	+	0.694679
Arachnid	Country	+	+	0.986344
ComicsCharacter	AutoRacingLeague	+	+	0.694679
Game	Astronaut	+	+	0.705867
Lighthouse	Ship	+	+	0.720180
Lighthouse	Company	+	+	0.948349
GaelicGamesPlayer	Website	+	+	0.694679
MilitaryConflict	Non-ProfitOrganisation	+	+	0.694679
Astronaut	PoliticalParty	+	+	0.694679
City	Cyclist	+	+	0.910110
Bacteria	MeanOfTransportation	+	+	0.694679
SoccerManager	Hospital	+	+	0.694679
Astronaut	CanadianFootballTeam	+	+	0.694679
PeriodicalLiterature	Colour	+	+	0.694679
ResearchProject	IceHockeyLeague	+	+	0.694679
GovernmentAgency	Mayor	+	+	0.694679
AmericanFootballLeague	RoadJunction	+	+	0.694679
Artery	AmericanFootballPlayer	+	+	0.694679
Eukaryote	AmericanFootballTeam	+	+	0.694679
Company	SportsLeague	+	+	0.694679
SpaceMission	HistoricBuilding	+	+	0.694679
Fungus	SoccerPlayer	+	+	0.694679
ChemicalSubstance	RailwayLine	+	+	0.694679
Album	Village	+	+	0.910110
Non-ProfitOrganisation	LegalCase	+	+	0.694679
PoloLeague	RouteOfTransportation	+	+	0.694679
Cleric	MountainRange	+	+	0.694679
VideogamesLeague	WaterwayTunnel	+	+	0.694679
Play	Lymph	+	+	0.904220
TradeUnion	Grape	+	+	0.694679
Politician	PeriodicalLiterature	+	+	0.694679
Vein	Airport	+	+	0.720180
RailwayTunnel	SoccerClub	+	+	0.694679
Library	SportsTeam	+	+	0.694679
Cyclist	FilmFestival	+	+	0.694679
TelevisionStation	Muscle	+	+	0.694679
Species	RoadJunction	+	+	0.694679
MartialArtist	Cyclist	-	+	0.547097
University	Arachnid	+	+	0.720180
Fern	MotorcycleRacingLeague	+	+	0.694679
MotorcycleRacingLeague	Award	+	+	0.694679
Journalist	Crustacean	+	+	0.720180
Eukaryote	GridironFootballPlayer	+	+	0.694679
Convention	Writer	+	+	0.874821
Embryology	Judge	+	+	0.967095
ChemicalSubstance	Arachnid	+	+	0.694679
Legislature	FictionalCharacter	+	+	0.694679
GolfPlayer	Disease	+	+	0.694679
Saint	SnookerPlayer	-	+	0.694679
Stream	SoccerLeague	+	+	0.694679
Athlete	ChristianBishop	-	+	0.694679
Lighthouse	AmericanFootballPlayer	+	+	0.694679
HockeyTeam	Device	+	+	0.694679
Judge	AnatomicalStructure	+	+	0.694679
RailwayTunnel	GolfLeague	+	+	0.694679
LaunchPad	MixedMartialArtsLeague	+	+	0.694679
Philosopher	CanadianFootballTeam	+	+	0.694679
BroadcastNetwork	Artery	+	+	0.694679
Automobile	AustralianFootballLeague	+	+	0.694679
